0: DAS SPANNENDE; []
179: Baut ein Spieler so dass am Ende einzelne Felder des Platzes übrigbleiben wird er; [164466: Loswerden, 1492: Siegbedingung, ]
180: ihn nicht vollständig bebauen können siehe hierzu auch Seite 9 Schlusswertung; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
181: Der Erhält ein Spieler diesen Bonus beim Platzieren eines neuen Priesters im Tempel oder eines auf dem darf er sich hierfür sofort entweder eine oder eine nehmen und zusätzlich entweder einen Schritt auf der vorrücken oder eine Muschel nehmen.; [3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, ]
182: Details siehe Aktion; [8536: Aktionspunkte, ]
183: Helfer Beispiel platziert einen Priester; []
184: Als nimmt sie sich eine statt einer und eine Muschel statt eines Zwei oder eine und eine hätte sie aber beispielsweise nicht nehmen dürfen!; [8536: Aktionspunkte, ]
185: Aktion Fischen; []
186: Wer hier in der linken oberen Ecke des einen Würfel platziert erhält 2 Siegpunkte gleichgültig welche Augenzahl der Würfel zeigt.; [1292: Zufall, 8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
187: Achtung!; []
188: Hier gilt die Regel nicht dass neue kleiner als bereits vorhandene sein müssen hier; []
189: kann jeder beliebige Würfel für jeweils 2 Siegpunkte platziert werden.; [1292: Zufall, 8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
190: Phase; []
191: Mann und Frau nutzen; []
192: In Zugreihenfolge können die Spieler nun eine ihrer und oder eine ihrer nutzen die Reihenfolge darf jeder selbst bestimmen.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
193: Es gelten die auf den Plättchen rechts abgebildeten Symbole.; [1292: Zufall, ]
194: Besitzt ein Spieler mehrere gleiche Frauen kann er diese für eine gemeinsame Aktion addieren aber nicht mehrere Aktionen damit ausführen; [3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
195: Dasselbe gilt auch für die Männer aber nie für Frauen und Männer zusammen!; []
196: Es ist ohne Belang wo auf dem Tableau die genutzten bzw. Frauen plättchen liegen und ob sie heruntergeschoben sind oder nicht.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
197: Sie bleiben durchs Nutzen auch unverändert sie werden weder abgegeben noch verschoben.; []
198: Beispiel; []
199: Don addiert die Werte seiner zwei Fährtensucher einer; [8528: Siegpunkte, 1492: Siegbedingung, ]
200: ist tätowiert einer; []
201: nicht er kann nun einen Landweg mit dem Wert 4 oder weniger nutzen; [8528: Siegpunkte, 1492: Siegbedingung, ]
202: er darf aber nicht zwei Wege mit bis zu 2 nutzen!; [8536: Aktionspunkte, ]
203: Besäße er auch noch eine oder mehrere dürfte er auch diese unabhängig von den Männern nochmals fürs Ausbreiten nutzen muss es aber nicht...; [8536: Aktionspunkte, ]
204: Die Aktionsmöglichkeiten der Frauen bzw. Männer im Einzelnen Siehe auch die entsprechende Übersicht auf den Tableaus.; [8528: Siegpunkte, 8536: Aktionspunkte, ]
205: Landweg; []
206: Der Spieler darf sich ausbreiten gerade so als ob er einen Würfel mit einer 2 auf der Aktionskarte Landweg platziert hätte.; [1292: Zufall, 164466: Loswerden, 8536: Aktionspunkte, ]
207: Hat er zwei solche Frauen bzw. Männer einen oder weg benutzen hätte er; []
208: alle 3 Frauen bzw. Männer dürfte er jeden Landweg benutzen.; [8536: Aktionspunkte, ]
209: Wasserweg Hier gilt dasselbe wie gerade beschrieben nur für Frau; []
210: Der Spieler nimmt sich ein vom Spielplan gerade so als ob er einen Würfel mit einer 3 auf der Aktionskarte Frau platziert hätte.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 8536: Aktionspunkte, ]
211: Oder als ob er eine 6 platziert hätte das dritte gleiche Plättchen ist wirkungslos!; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
212: Mann Hier gilt dasselbe wie gerade beschrieben nur für Bauen; []
213: Der Spieler verbaut eines seiner Bauplättchen gerade so als ob er einen Würfel mit einer 3 auf der Aktionskarte Bauen platziert hätte.; [1292: Zufall, 164466: Loswerden, 8536: Aktionspunkte, 1492: Siegbedingung, ]
214: Oder als ob er eine 6 platziert hätte das dritte gleiche Plättchen ist wirkungslos!; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
215: Entweder 1 oder 1 und entweder 1 Status oder 1 Muschel Aktion Fischen; [8536: Aktionspunkte, ]
216: 2 Siegpunkte weiterrücken; [8528: Siegpunkte, 1492: Siegbedingung, ]
217: PHASE; []
218: BIn Zugreihenfolge darf jeder Spieler; [1492: Siegbedingung, ]
219: eine seiner und eine seiner nutzen Hat man mehrere gleiche Männer bzw. Frauen darf man sie für eine gemeinsame Aktion addieren; [8536: Aktionspunkte, ]
220: Einen Landweg mit max. 2 4 6 nutzen; []
221: Einen Wasserweg mit max. 2 4 6 nutzen; []
222: Ein Frauen plättchen nehmen; [3173: Gemeinsames Spielfeld, ]
223: Ein Männer plättchen nehmen; [3173: Gemeinsames Spielfeld, ]
224: Ein Bau plättchen verbauen Baustoff; [8528: Siegpunkte, 1492: Siegbedingung, ]
225: Der Spieler nimmt sich einen beliebigen Baustoff aus dem Vorrat und platziert ihn auf einem passenden freien Feld seines Oder er nimmt sich 2 oder gar 3 diese dürfen auch unterschiedlich sein.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
226: Hütte versetzen; []
227: Der Spieler versetzt eine seiner Hütten auf das 12. Feld seines Tableaus.; [3173: Gemeinsames Spielfeld, 1492: Siegbedingung, 166903: Ankommen, ]
228: Oder er versetzt 2 oder gar 3 seiner Hütten.; []
229: Siegpunkte; []
230: Der Spieler rückt seinen auf der Siegpunktleiste um zwei Felder weiter.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
231: Oder um 4 oder gar 6 Felder.; [8536: Aktionspunkte, 7090: Kooperative Spielform, ]
232: Der Spieler nimmt eine auf die Hand.; [1292: Zufall, 164466: Loswerden, 1492: Siegbedingung, ]
233: Oder 2 oder gar 3; []
234: Der Spieler nimmt sich eine aus dem Vorrat.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 1492: Siegbedingung, ]
235: Oder 2 oder gar 3 Status; []
236: Der Spieler rückt seinen auf der um ein Feld vor.; [8536: Aktionspunkte, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
237: Oder um 2 oder gar 3 Felder.; [8536: Aktionspunkte, 7090: Kooperative Spielform, ]
238: Muschel; []
239: Der Spieler nimmt sich eine Muschel aus dem Vorrat.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 1492: Siegbedingung, ]
240: Oder 2 oder gar 3 Muscheln.; []
241: Phase; []
242: Rechte abhandeln; []
243: Zuerst wird immer die dann der Tempel danach werden die und schließlich die abgehandelt.; [3173: Gemeinsames Spielfeld, ]
244: 1.; []
245: Jeder Spieler erhält so viele Siegpunkte wie oberhalb seines Steines angegeben ist also 0 bis 15 Siegpunkte.; [8528: Siegpunkte, 3142: Verlierbedingung, 1492: Siegbedingung, ]
246: Danach werden alle Steine wieder als Stapel auf das Feld unterhalb der 0 zurückgestellt so dass sich anschließend der hinterste unterste Stein ganz unten befindet danach fortlaufend bis hin zu demjenigen Stein der am weitesten vorne oben lag und sich nun ganz oben auf dem Stapel befindet.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 1492: Siegbedingung, ]
247: Anschließend werden die entsprechend neu verteilt; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
248: Der Spieler dessen Stein sich oben auf dem Stapel befindet erhält das 1. usw.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
249: 2. Tempel; [7090: Kooperative Spielform, ]
250: Jeder Spieler erhält für jeden seiner Priester im Tempel Siegpunkte und zwar in den ersten beiden Durchgängen 1 Siegpunkt pro Priester in den nächsten zwei Durchgängen 2 Siegpunkte und in den letzten beiden Durchgängen 3 Siegpunkte pro Priester wie auch unterhalb des Tempels dargestellt; [8528: Siegpunkte, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
251: Zudem erhält der Spieler mit den meisten Priestern im Tempel das oberste vom entsprechenden Stapel des Tempels und legt es auf sein Tableau.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 1492: Siegbedingung, ]
252: Herrscht; []
253: Gleichstand um die Mehrheit erhält von diesen Spielern derjenige den dessen Priester neben dem höheren Wert steht.; [8528: Siegpunkte, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
254: Sollte sich tatsächlich kein Priester im Tempel befinden wird das entsprechende aus dem Spiel genommen.; [3173: Gemeinsames Spielfeld, ]
255: 1 2 3; []
256: beliebige nehmen 1 2 3 Hütten; [1292: Zufall, ]
257: aufs 12. Feld versetzen; []
258: 2 4 6 Siegpunkte weiterrücken; [8528: Siegpunkte, 1492: Siegbedingung, ]
259: 1 2 3 nehmen; []
260: 1 2 3 nehmen 1 2 3; []
261: vorrücken; []
262: 1 2 3 Muscheln nehmen; []
263: PHASE; []
264: 1.; []
265: Jeder Spieler erhält seinem gestein entsprechend Siegpunkte Dann wieder alle Steine zurück auf Feld 0 als Stapel und von oben nach unten neu verteilen 2. Tempel; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
266: Pro Priester 1; []
267: Siegpunkt Durchgang 1 2 2; [8528: Siegpunkte, 1492: Siegbedingung, ]
268: Siegpunkte Durchgang 3 4 3; [8528: Siegpunkte, 1492: Siegbedingung, ]
269: Siegpunkte Durchgang; []
270: 5 6 Spieler mit den meisten Priestern erhält einen 3.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
271: In der neuen Zugreihenfolge darf nun jeder Spieler genau ein des aktuellen Durchgangs erwerben in dem er so viele Muscheln zurück in den Vorrat legt wie auf dem Plättchen angegeben ist.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 1492: Siegbedingung, ]
272: Das Plättchen legt er verdeckt auf das entsprechende Feld seines Tableaus die Siegpunkte hierfür erhält er erst am Spielende; [1292: Zufall, 8528: Siegpunkte, 1492: Siegbedingung, ]
273: siehe nächste Seite; []
274: Schlusswertung Kann oder will ein Spieler; [8528: Siegpunkte, ]
275: kein erwerben wird er über Evtl.; []
276: übrig gebliebene Plättchen des aktuellen Durchgangs werden jetzt abgeräumt.; [1292: Zufall, 8528: Siegpunkte, 1492: Siegbedingung, ]
277: Dadurch ist immer ersichtlich in welchem Durchgang sich das Spiel gerade befindet und wie viele Siegpunkte die Bauplättchen bzw. Priester einbringen.; [8528: Siegpunkte, 1492: Siegbedingung, ]
278: 3.; []
279: Jeder Spieler darf pro Durchgang maximal ein des aktuellen Durchgangs erwerben Siegpunkte am Spielende 4.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
280: In der neuen Zugreihenfolge muss nun jeder Spieler genau eines seiner drei erfüllen.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 1492: Siegbedingung, ]
281: Dafür rückt er seinen sechs Sieg punkte vor und legt das Plättchen anschließend verdeckt auf das Feld mit dem Häkchen wo es bis zum Spielende verbleibt.; [1292: Zufall, 8528: Siegpunkte, 1492: Siegbedingung, ]
282: Kann ein Spieler keine seiner drei Aufgaben erfüllen muss er sich trotzdem von einem beliebigen seiner drei Plättchen trennen indem er es zurück in die Schachtel legt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
283: Hierfür erhält er null Siegpunkte.; [8528: Siegpunkte, 1492: Siegbedingung, ]
284: Hier ist besonders die Funktion des gelben Gottes zu beachten siehe Seite 11; [7090: Kooperative Spielform, ]
285: Erneut in Zugreihenfolge muss dann jeder Spieler ein neues von denen die auf dem Plan ausliegen nehmen und offen auf das nun freie Feld seines Tableaus legen gilt auch noch im Durchgang!; [1292: Zufall, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 1492: Siegbedingung, ]
286: Die zwei nicht genommenen werden jetzt in die Schachtel zurückgelegt ebenso auch alle evtl. übrig gebliebenen bzw. Frauen plättchen auf dem Spielplan.; [8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
287: Der Durchgang ist zu Ende.; [164466: Loswerden, 1492: Siegbedingung, ]
288: Der nächste Durchgang wird vorbereitet indem wieder je sechs neue und auf dem Spielplan platziert werden.; [3173: Gemeinsames Spielfeld, ]
289: Ebenso werden wieder neue ausgelegt Spieleranzahl plus 2 auch zu Beginn des Durchgangs.; []
290: Jeder Spieler nimmt als letztes noch seine drei Würfel von den Aktionskarten zurück.; [1292: Zufall, 164466: Loswerden, 1492: Siegbedingung, ]
291: Der nächste Durchgang kann beginnen; []
292: Das Spiel endet nach dem Durchgang.; [164466: Loswerden, 1492: Siegbedingung, 166903: Ankommen, ]
293: Jetzt kann jeder Spieler zunächst noch seine drei erfüllen und zwar genau so wie auch die anderen am Ende jedes der sechs Durchgänge.; [1292: Zufall, 8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
294: Dann folgt die Schlusswertung siehe dazu auch die Abbildungen unten links auf den Tableaus; [8528: Siegpunkte, 1492: Siegbedingung, ]
295: ein Spieler erhält noch für jeden unbenutzten eigenen 2 Siegpunkte für Bauplätze die mit eigenen Hütten besetzt sind die Siegpunkte der daran anliegenden für die eigenen die entsprechenden Siegpunkte.; [8528: Siegpunkte, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
296: Zudem erhält ein Spieler je 6 Siegpunkte wenn er am Ende Folgendes vorzuweisen hat; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
297: 9 erfüllte 6 erworbene einen voll belegten Zeremonien platz gleichgültig ob mit Bau stoffen und oder Bauplättchen alle 6 Bauplättchen sind verbaut; [164466: Loswerden, 1492: Siegbedingung, ]
298: alle 12 Hütten sind; [164466: Loswerden, ]
299: auf den 12 Gebieten platziert alle 12 Felder sind mit beliebigen belegt Überzählige Muscheln und sind nichts mehr wert.; [1292: Zufall, 164466: Loswerden, 1492: Siegbedingung, ]
300: Der Spieler mit den meisten gewinnt.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
301: Bei Gleichstand entscheidet die aktuelle Zugreihenfolge dieser Spieler es gewinnt wer früher an der Reihe ist.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
302: 4.; []
303: Jeder Spieler muss ein pro Durchgang erfüllen 6 wenn erfüllt 4 wenn mit Hilfe von gelbem Gott erfüllt; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
304: 0 wenn nicht erfüllt Anschließend in Zugreihenfolge neues nehmen auch am Ende des 6. Durchgangs Neuer Durchgang wieder je 6 neue Männer und wieder neue Aufgaben plättchen wieder 3 Würfel pro Spieler; [1292: Zufall, 8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
305: SPIELENDE; []
306: Am Ende werden noch die rest drei erfüllt; [164466: Loswerden, 1492: Siegbedingung, ]
307: je 6 4 oder 0 Schlusswertung pro 2 pro pro Sowie je 6 wenn 9 erfüllt 6 erworben komplett belegt alle Bauplättchen verbaut alle Hütten; [8528: Siegpunkte, 164466: Loswerden, 8536: Aktionspunkte, 1492: Siegbedingung, ]
308: errichtet 12 platziert; []
309: Der Spieler mit den meisten Sieg punkten ist Gewinner; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
310: Die Götter; []
311: Um eine ausspielen zu können muss der Spieler immer eine Opfer gabe abgeben.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
312: Wer keine hat kann keine ausspielen.; [1492: Siegbedingung, ]
313: Die benutzte wird auf einen offenen Ablagestapel neben dem Aufnahmestapel gelegt die kommt zurück in den allgemeinen Vorrat.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
314: Ist der Aufnahmestapel der aufgebraucht wird der Ablagestapel gemischt und als neuer Aufnahmestapel bereitgelegt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
315: Achtung Wer; []
316: zwei beliebige gleiche und eine abgibt kann die frei wählen.; [1292: Zufall, 8536: Aktionspunkte, ]
317: Wer einen blauen Gott ausspielt nur in Phase möglich darf seinen Würfel auf einer Aktionskarte platzieren obwohl er gleich oder größer als der kleinste Würfelwert auf dieser Karte ist.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
318: Gilt immer pro Würfel will jemand später in dieser Phase noch einmal einen größer gleichen Würfel einsetzen muss er auch wieder einen blauen Gott ausspielen.; [1292: Zufall, ]
319: Zusätzlich ein weißer und oder roter Gott ausgespielt werden.; []
320: Wer einen weißen Gott ausspielt nur in Phase möglich erhöht den Wert seines den sonstigen Regeln entsprechend platzierten Würfels damit auf 6. Dazu wird der Würfel aber nicht auf die Augenzahl 6 gedreht sondern er bleibt wie er ist!; [1292: Zufall, 164466: Loswerden, 8536: Aktionspunkte, ]
321: Wer sich ausbreitet und den Bauplatz eines neuen Gebietes besetzt darf jetzt und nur jetzt einen roten Gott ausspielen also nur in Phase oder möglich Dadurch wertet er das am neuen Gebiet anliegende er zieht um so viele Siegpunkte weiter wie das Plättchen angibt.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
322: Achtung; []
323: Auch wenn ein gewertet wurde bleibt es liegen und steht somit allen nachfolgenden Spielern ebenso zur Verfügung.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
324: Zur Verdeutlichung; []
325: Ein Spieler darf pro Gebiet höchstens einen roten Gott ausspie und damit ein max. einmal werten.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
326: Beispiel Anna spielt einen blauen Gott aus und eine um eine 3 auf dem Aktionsplättchen Wasserweg platzieren zu können obwohl hier als niedrigste Würfelzahl bereits eine 1 liegt.; [1292: Zufall, 3142: Verlierbedingung, ]
327: Zudem spielt sie einen weißen Gott aus und eine weitere um die 3 als 6 nutzen zu können woraufhin sie sich über einen Wasserweg mit dem Wert 6 ausbreitet und eine neue Hütte errichtet.; [3142: Verlierbedingung, 1492: Siegbedingung, ]
328: Zu guter Letzt spielt sie auch noch einen roten Gott aus und eine dritte und wertet das am neuen Gebiet anliegende; [8528: Siegpunkte, 3142: Verlierbedingung, 1492: Siegbedingung, ]
329: In Phase darf ein Spieler maximal einen grünen Gott ausspielen.; [3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
330: Tut er dies gilt; []
331: Entweder verdoppelt er dadurch die Aktion der oder die er gerade nutzt aber auch hierdurch sind keine mehrfachen Aktionen möglich!; [8536: Aktionspunkte, ]
332: sinnvollerweise natürlich erst nach einer evtl. mehrerer gleicher bzw. Beispiel 1 besitzt zwei die ihr zusammen vier Siegpunkte einbringen.; [8528: Siegpunkte, 1492: Siegbedingung, ]
333: Durch den Einsatz eines grünen Gottes verdoppelt sie diese nun auf acht Siegpunkte.; [8528: Siegpunkte, 1492: Siegbedingung, ]
334: Beispiel 2 Ben könnte ein verbauen durch Einsatz eines grünen Gottes darf er stattdessen auch ein verbauen aber eben kein zweites Oder er aktiviert eine zweite bzw. Diese muss sich aber von der anderen genutzten bzw. unterscheiden.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
335: Beispiel; []
336: Don nutzt seine zwei die ihm zusammen eine Bewegung über Land erlauben.; [8536: Aktionspunkte, 7090: Kooperative Spielform, ]
337: Anschließend nutzt er sein das ihm das Nehmen einer erlaubt.; []
338: Er nimmt einen grünen Gott und spielt ihn zusammen mit einer umgehend wieder aus um nun auch noch seine zwei zu nutzen die ihm zwei beliebige einbringen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 8536: Aktionspunkte, ]
339: Nur in Phase darf ein Spieler maximal einen gelben Gott ausspielen.; [8536: Aktionspunkte, ]
340: Tut er dies ersetzt er damit beim Erfüllen seines von diesem genau ein Erfordernis.; [8536: Aktionspunkte, ]
341: Verlangt die Aufgabe beispielsweise Holz von einem Spieler besitzt er aber nur Holz kann er einen gelben Gott abgeben um damit das dritte Holz zu ersetzen.; [3142: Verlierbedingung, 8536: Aktionspunkte, ]
342: Oder werden Hütten in 9 Gebieten verlangt hat der Spieler aber nur welche in 8 Gebieten errichtet kann er die eine fehlende Hütte durch einen gelben Gott ersetzen.; [3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
343: Ein mit Hilfe eines gelben Gottes erfülltes bringt nur 4 Siegpunkte ein.; [8528: Siegpunkte, 1492: Siegbedingung, ]
344: Achtung; []
345: Bei Spielende wenn jeder Spieler noch seine restlichen drei erfüllt darf er weiterhin max. einen gelben Gott pro Aufgabe nutzen also insgesamt bis zu drei.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
346: Ein kann anstelle einer beliebigen Götter karte abgegeben werden zurück in die Schachtel Hierfür muss keine Opfer gabe abgegeben werden.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
347: Das Spiel mit zwei oder drei Spielern Ersetzt ein Erfordernis einer Aufgabe kostet; [3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, 166903: Ankommen, ]
348: 2 Siegpunkte Kann ohne als beliebiger setzt werden Gott 2 UND 3; [1292: Zufall, 8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
349: SPIELER Hier werden weniger Aktionskarten ausgelegt da manche Aktionen zusammengefasst werden; [1292: Zufall, 1492: Siegbedingung, ]
350: Im gibt es neben den drei Aktionen Bauen Tempel und Helfer; [8536: Aktionspunkte, 1492: Siegbedingung, ]
351: noch die gemeinsame Aktion Frau Mann Aktionskarte Frau umdrehen sowie die gemeinsame Aktion Landweg Wasserweg Aktionskarte Land weg umdrehen Somit liegen hier nur insgesamt fünf Aktionskarten aus.; [1292: Zufall, 7090: Kooperative Spielform, ]
352: Im gibt es neben den fünf Aktionen Bauen Tempel Helfer Frau und Mann noch die gemeinsame Aktion Landweg Wasserweg es liegen sechs Karten aus.; [1292: Zufall, 7090: Kooperative Spielform, ]
353: Es werden nur 5 bzw. 6 Aktionskarten ausgelegt; [1292: Zufall, 1492: Siegbedingung, ]
354: Die Regeln zum Einsetzen der Würfel bleiben unverändert denen des Immer nur kleinere Würfelwerte platzieren Ausnahme blauer Gott und sich im Falle einer dann für eine beliebige der zwei angebotenen Möglichkeiten entscheiden.; [1292: Zufall, 8536: Aktionspunkte, 7090: Kooperative Spielform, ]
355: Beispiel; []
356: Don platziert einen auf der gemeinsamen Aktionskarte Frau Mann und nimmt sich hierfür ein Alle weiteren Spieler dürfen dort nun nur noch eine 2 oder 1 platzieren dürften sich aber dann auch ein nehmen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
357: Gleiches gilt auch für die gemein same Aktionskarte Landweg Wasserweg; [1292: Zufall, 8536: Aktionspunkte, ]
358: Alle weiteren Regeln bleiben bestehen Autor und Verlag bedanken sich bei den zahlreichen Testspielern für ihre tatkräftige Mithilfe insbesondere bei Gesa und Ralph Edith und Alexander Carl Susanne und Jonathan Feld Benjamin Fleck Thomas Andrea und Daniel Denis Leonhard Siegfried Renn Michaela und Jochen Michael Schmitt Torsten Christoph Roland und Andreas Zimmermann sowie den Spielgruppen aus Bad Aibling Essen Offen burg und Sollten Sie Kritik Fragen oder Anregungen zu diesem Spiel haben schreiben Sie uns oder rufen Sie an Postfach 1150 83233 Bernau 08051 970720 Fax 08051 970722 info 2012; [7090: Kooperative Spielform, ]
359: Stefan Feld; []
360: 2013 Ravensburger Spieleverlag info http; []
361: Die Anhand der folgenden Beispiele werden alle erläutert zunächst die 7 hell grüne Rückseite mit Kranich anschließend die restlichen 53 Rückseite mit Papagei Generell; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
362: gilt dass bei allen Aufgaben immer die Mindestmenge angegeben ist und keine genaue Anzahl!; [8528: Siegpunkte, ]
363: Man darf also jederzeit mehr der Erfordernisse besitzen als verlangt aber nicht weniger.; [164466: Loswerden, 1492: Siegbedingung, ]
364: Achtung; []
365: Zum Erfüllen der muss nie etwas abgegeben werden.; []
366: Die Erfordernisse müssen immer nur vorhanden sein bzw. vorgezeigt werden.; [8528: Siegpunkte, 1492: Siegbedingung, ]
367: Als erfüllt gilt das wenn der Spieler ein und ein auf seinem Tableau liegen hat.; [3173: Gemeinsames Spielfeld, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
368: ein auf seinem Tableau liegen und einen Priester im Tempel stehen hat.; [3173: Gemeinsames Spielfeld, 7090: Kooperative Spielform, ]
369: Ähnlich Einen Mann auf seinem Tableau und einen Priester im Tempel bzw. Drei Priester ein und ein auf seinem Tableau liegen hat.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
370: Ähnlich Einen Mann auf seinem Tableau und das 1. besitzen.; []
371: in drei beliebigen Gebieten je eine Hütte errichtet hat.; [1292: Zufall, 1492: Siegbedingung, ]
372: Ähnlich Hütten in neun Gebieten bzw. Auf jeder der fünf Inseln eine Hütte drei beliebige vorweist.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
373: Ähnlich Zwei gibt es Farbe bzw. Vier verschiedene Achtung!; [1292: Zufall, 1492: Siegbedingung, ]
374: Die hier verlangten können nicht durch ersetzt werden und auch nicht dadurch dass man zwei gleiche für eine beliebige vorweist!; [1292: Zufall, 8536: Aktionspunkte, ]
375: drei verschied auf seinem Tableau liegen hat.; []
376: Ähnlich Drei verschiedene Frau eben bzw; []
377: Dr ei verschiedene Schmuck plättchen vier beliebige auf seinem Tableau liegen hat.; [1292: Zufall, ]
378: Ähnlich Vier bzw Vier bzw; []
379: Vier verbaute Bauplättchen zwei Kette vorweist gib es 1 pro Ähnlich; [1492: Siegbedingung, ]
380: Zwei Ha bzw; []
381: Vier bzw; []
382: Fünf Muscheln drei Stein auf dem oder neben seinem Tableau liegen hat gib es 1 pro Baustoff; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 1492: Siegbedingung, ]
383: Ähnlich; []
384: Fünf beliebige eine Hütte in jedem der drei Gebirge errichtet hat müssen dort nicht notwendiger weise auf Bau plätzen stehen gib es 1 pro Land bzw 1 pro vier Hütten auf seinem 12. Feld auf seinem Tableau stehen hat.; [1292: Zufall, 1492: Siegbedingung, ]
385: drei beliebige herunter geschobene auf seinem Tableau liegen hat.; [1292: Zufall, ]
386: Ähnlich Drei beliebige herunter geschobene bzw Fünf beliebige herunter geschobene zwei der abgebildeten Frauen und ode Männer auf seinem Tableau liegen hat.; [1292: Zufall, ]
387: Gib es pro; []
