0: Markus Spielidee; []
247: Im Anschluss erhältst du die im Kreis angegebene Belohnung des Ortes 2 beliebige Einflusssteine aus dem Vorrat 1 Münze bzw. 3 Achtung; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 1492: Siegbedingung, ]
248: An jedem Ort kannst du jeweils nur einmal einen Marker ablegen und die Belohnung kassieren.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
249: Reist deine Figur also zu einem Ort auf dem bereits ein Marker von dir liegt legst du dort keinen weiteren Marker ab.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
250: Du erhältst auch nicht die dortige Belohnung.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
251: Es dürfen sich mehrere Spielfiguren und Marker verschiedener Spieler auf einem Ort befinden.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 1492: Siegbedingung, ]
252: Am Ende des Spiels erhältst du noch einmal Punkte für die Anzahl der Orte die deine Familie bereist hat.; [8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
253: Siehe 12; []
254: Du ziehst eine deiner Figuren die sich bereits in der befindet um eine Stufe nach rechts.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
255: Dafür zahlst du erneut 2 grüne Einflusssteine ODER 1 und verlierst je nach Stufe 2 bzw. 3 Zeit.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
256: Außerdem darfst du ein Privileg nutzen das unter der aktuellen oder einer niedrigeren Stufe deiner Figur abgebildet ist.; [8536: Aktionspunkte, ]
257: ODER; []
258: Hast du eine Figur in der darfst du ein Privileg auch nutzen ohne dass du sie aufsteigen lässt.; [8536: Aktionspunkte, ]
259: Du nutzt einfach ein Privileg das unter ihrer aktuellen oder einer niedrigeren Stufe abgebildet ist und musst dafür nichts bezahlen.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
260: Es gibt folgende Privilegien 1. Stufe; []
261: Du nimmst dir den Marker Nächster Startspieler aus; []
262: der Wenn der Marker bereits von einem anderen Spieler genommen wurde gehst du leider leer aus.; [1492: Siegbedingung, ]
263: Hast du den Marker genommen wirst du in der nächsten Runde auf jeden Fall Startspieler.; [1292: Zufall, 8528: Siegpunkte, 73230: Symmetrische Startbedingung, 1492: Siegbedingung, ]
264: Am Anfang der nächsten Runde nimmst du dir dementsprechend den Startspielermarker und legst dann den Marker Nächster Startspieler wieder auf den dafür vorgesehenen Platz in der zurück.; [3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
265: 2. Stufe; []
266: Du erhältst 2 Einflusssteine deiner Wahl aus dem Vorrat.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
267: 3. Stufe; []
268: Du erhältst 1 deiner Wahl das du neben deinem Hof ablegst.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 1492: Siegbedingung, ]
269: 4. Stufe; []
270: Du legst genau 1 Münze in den Vorrat und erhältst 3 die du mit deinem Marker auf der markierst.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
271: Auf jeder Stufe dürfen beliebig viele gleiche und verschiedene Figuren stehen.; [1292: Zufall, 8536: Aktionspunkte, ]
272: Am Ende des Spiels bringt jede Figur die mindestens Stufe 2 in der erreicht hat noch einmal Siehe Schlusswertung Seite 12; [8528: Siegpunkte, 1492: Siegbedingung, 166903: Ankommen, ]
273: Kirche; []
274: Du darfst eine Spielfigur von deinem Hof in den schwarzen Beutel werfen.; [1292: Zufall, 8536: Aktionspunkte, ]
275: Dazu musst du entweder 1 braunen Einflussstein in den Vorrat legen; [3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
276: ODER; []
277: 3 Zeit verlieren.; [8528: Siegpunkte, 7090: Kooperative Spielform, ]
278: Die Figuren die in den schwarzen Beutel geworfen werden können während einer Messe gezogen und in der Kirche eingesetzt werden.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
279: Eine Messe findet jedesmal am Ende einer Runde sowie am Spielende statt.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
280: Siehe Rundenende unten Brunnen Anstatt in deinem Zug einen Stein von einem Aktionsfeld zu nehmen hast du auch die Möglichkeit 3; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
281: Einflusssteine in den Vorrat zu legen aber; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
282: keine Dafür darfst du eine beliebige der zuvor beschriebenen Aktionen durchführen.; [1292: Zufall, 8536: Aktionspunkte, ]
283: Achtung; []
284: Eine solche ist nur solange möglich wie noch mindestens ein oder auf der liegt.; [1492: Siegbedingung, ]
285: Übrigens; []
286: Der Brunnen ist die einzige Möglichkeit eine Aktion auszuführen auf dessen Aktionsfeld keine Steine mehr liegen.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 1492: Siegbedingung, ]
287: Sobald einer von euch den insgesamt letzten Stein von einem Aktionsfeld nimmt so dass alle; [164466: Loswerden, 1492: Siegbedingung, ]
288: leer sind führt er seine Aktion wie gewohnt aus.; [8536: Aktionspunkte, ]
289: Anschließend ist die laufende Runde beendet.; [8528: Siegpunkte, 1492: Siegbedingung, ]
290: Nun findet auf jeden Fall eine Messe statt.; [1492: Siegbedingung, ]
291: Messe; []
292: Jede Messe besteht aus 3 Phasen; [1492: Siegbedingung, ]
293: 1. 4 Figuren aus dem schwarzen Beutel ziehen 2. eigene Figuren in der Kirchenhierarchie aufsteigen lassen 3. 2; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
294: für die Mehrheit in der Kirche vergeben; []
295: 1. Ihr mischt alle Figuren im schwarzen Beutel gut durch.; [1292: Zufall, 7090: Kooperative Spielform, ]
296: Anschließend werden genau 4 Figuren aus dem Beutel gezogen entweder zufällig oder gezielt gegen Bezahlung.; [1292: Zufall, 8536: Aktionspunkte, ]
297: Angefangen beim Startspieler und dann im Uhrzeigersinn darf jeder von euch einmal entscheiden ob und wie viele Figuren er gezielt aus dem Beutel heraus suchen möchte.; [1292: Zufall, 8536: Aktionspunkte, ]
298: Jede gezielt herausgesuchte Figur kostet 1 Münze.; [7090: Kooperative Spielform, ]
299: Da sich immer auch 4 schwarze Figuren im Beutel befinden könnt ihr nur so sicherstellen dass eure Figuren auf jeden Fall gezogen werden.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
300: Sobald insgesamt 4 Figuren gezielt her ausgesucht wurden darf keine weitere Figur aus dem Beutel gezogen werden.; [1292: Zufall, 8536: Aktionspunkte, ]
301: Sind weniger als 4 oder auch gar keine herausgesucht worden ergänzt ihr durch zufälliges Ziehen die Figuren auf genau 4 Danach werden alle gezogenen schwarzen Figuren wieder zurück in den Beutel geworfen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 8536: Aktionspunkte, ]
302: Alle gezogenen und herausgesuchten farbigen werden auf das rechte große gestellt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
303: Figuren die; []
304: sich noch im Beutel befinden verbleiben dort und können auf die nächste Messe hoffen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
305: 2.; []
306: Nachdem 4 Figuren aus dem Beutel gezogen wurden auch wenn es nur schwarze waren darf jeder von euch eine oder auch mehrere seiner Figuren in der Kirchenhierarchie aufsteigen lassen auf den Fenstern weiter nach links bewegen Beginnend mit dem Startspieler und dann im Uhrzeigersinn ist jeder von euch einmal dran.; [1292: Zufall, 73230: Symmetrische Startbedingung, 8536: Aktionspunkte, ]
307: Um eine Figur nach links auf das nächste Fenster zu bewegen musst du so viele abgegeben wie zwischen den Fenstern abgebildet sind.; [8536: Aktionspunkte, 7090: Kooperative Spielform, ]
308: Deine Figuren können durchaus auch mehrere Stufen auf einmal aufsteigen sofern du für jede Stufe und Figur die erforderliche Menge Getreide abgibst.; [8536: Aktionspunkte, ]
309: 3.; []
310: Anschließend erhält derjenige von euch der die Mehrheit an Spielfiguren in der Kirche vorweisen kann sofort 2; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
311: Die Punkte werden mit dem eigenen Marker auf der abgetragen.; [8528: Siegpunkte, 1492: Siegbedingung, ]
312: Bei einem Gleichstand er hält der Spieler die Punkte dessen Figur zusätzlich weiter links steht.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
313: Herrscht auch hier ein Gleichstand erhält jeder der beteiligten Spieler 2 Beispiel Messe Peter 1 kIm; [8528: Siegpunkte, 1492: Siegbedingung, ]
314: Spiel zu dritt ist Peter momentan Start spieler.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
315: Er bezahlt 1 Münze und sucht sich gezielt seine blaue aus dem schwarzen Beutel.; [1292: Zufall, ]
316: Martina möchte nichts zahlen.; []
317: Philipp zahlt ebenfalls 1 Münze und sucht sich seine rote Figur heraus.; []
318: Nun ergänzt Peter durch zufälliges Ziehen die Figuren auf insgesamt 4.; [1292: Zufall, ]
319: Danach stellt er die 3 farbigen Figuren auf das rechte große und wirft den einen schwarzen zurück in den Beutel.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
320: Nun dürfen die Spieler beginnend bei Peter ihre Figuren noch aufsteigen lassen.; [8536: Aktionspunkte, ]
321: Peter legt zuerst 2 in den Vorrat und bewegt seine blaue ein Fenster nach links.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
322: Anschließend zahlt er noch 1 und zieht sei ebenfalls ein Fenster nach links.; [1292: Zufall, ]
323: Martina hat kein Getreide und kann daher ihre Figur nicht aufsteigen lassen.; []
324: 9 2 2 Philipp; []
325: Im Anschluss zahlt Philipp 4 und zieht seine rote in das Fenster ganz links.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
326: 1 7 Nun werden 2 vergeben.; []
327: Da Philipp und Peter gleich viele Figuren in der Kirche haben entscheidet hier wessen Figur weiter links steht.; []
328: Somit er hält Philipp die 2; []
329: Eine neue Runde beginnt Hat einer von euch in der abgelaufenen Runde den Marker Nächster Start spieler erworben nimmt er sich nun den Startspielermarker und legt den Marker Nächster Startspieler wieder auf den dafür vorgesehenen Platz in der Ansonsten bleibt der vorherige Startspieler weiterhin im Amt.; [3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 1492: Siegbedingung, ]
330: Die neue Runde beginnt dann wieder mit dem Auffüllen des grünen Beutels und dem Bestücken der Die Münzen; [1292: Zufall, 1492: Siegbedingung, ]
331: Münzen erhaltet ihr in der Mühle oder auf Reisen.; [8528: Siegpunkte, 1492: Siegbedingung, ]
332: Es gibt 3 Möglichkeiten wie ihr Münzen verwenden könnt zum Kauf von in der letzte Stufe; [8536: Aktionspunkte, ]
333: um bei einer Messe Figuren gezielt aus dem schwarzen Beutel heraussuchen zu dürfen jede Münze kann als JOKER einen beliebigen Einflussstein ersetzen; [1292: Zufall, 8536: Aktionspunkte, ]
334: Am Ende des Spiels erhält jede Figur in der Kirche noch einmal je nachdem wie weit sie aufgestiegen ist.; [8528: Siegpunkte, 1492: Siegbedingung, ]
335: Siehe Schlusswertung Seite; [8528: Siegpunkte, ]
336: 12 Beispiel; []
337: Wenn du beim Aufsteigen in der 2 grüne Einflusssteine abgeben musst darfst du alternativ auch 1 Münze und 1 grünen; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
338: Ein ODER; []
339: 2 Münzen abgeben.; []
340: Jede Münze die nicht ausgegeben wurde ist am Spielende noch je 1 Ruh wert.; [8528: Siegpunkte, 1492: Siegbedingung, ]
341: Siehe Schlusswertung Seite 12; [8528: Siegpunkte, ]
342: WEin; []
343: Familienmitglied stirbt Während des Spiels musst du immer wie der Aktionen mit Zeit bezahlen indem du den Marker auf deiner Lebenszeitleiste im Uhrzeigersinn; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
344: Wenn du den Marker dabei über die Brücke ziehst stirbt eine deiner ältesten Spielfiguren.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
345: Du führst aber immer erst deine Aktion voll ständig aus und entscheidest dich erst am Ende deines Zuges welche deiner Figuren stirbt.; []
346: Ausnahme Jeder der bei der Aktion Markt Zeit verliert und damit seinen Marker über die Brücke zieht muss immer sofort eine Figur sterben lassen.; [1292: Zufall, 8536: Aktionspunkte, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
347: Es stirbt immer deine Figur mit der niedrigsten Zahl.; [7090: Kooperative Spielform, ]
348: Hast du mehrere Spielfiguren mit gleich niedrigem Wert kannst du eine davon auswählen.; []
349: Eine sterbende Figur muss im Moment ihres Todes sichtbar auf dem Spielplan oder auf dem ei genen Hof stehen.; [3173: Gemeinsames Spielfeld, 7090: Kooperative Spielform, ]
350: eine Figur die sich noch im schwarzen Beutel befindet kann ebenso wenig sterben wie eine die noch nicht ins Spiel gekommen ist.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 7090: Kooperative Spielform, ]
351: jetzt ist seine Aktion beendet und seine Figur mit der niedrigsten Zahl muss sterben.; [7090: Kooperative Spielform, ]
352: Er hat zwei auf dem Spielplan und entscheidet sich den eben erst eingesetzten Handwerker sterben zu lassen.; [3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 7090: Kooperative Spielform, ]
353: Für jede gestorbene Figur gibt es genau eine von zwei Möglichkeiten Es gibt noch; [8536: Aktionspunkte, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
354: einen Platz in der Die berichtet über die besonderen Bewohner des Dorfes und ihre Taten.; [3173: Gemeinsames Spielfeld, ]
355: Für jede Berufsgruppe hält die einige wenige Plätze bereit.; [8528: Siegpunkte, 1492: Siegbedingung, ]
356: Je nachdem wo die Figur im Moment ihres Todes gearbeitet hat muss sie auf einen freien Platz gelegt werden; [3173: Gemeinsames Spielfeld, ]
357: Handwerk; []
358: Reise; []
359: Kirche; []
360: Eigener Hof Beispiel; []
361: Peter wählt die Aktion Handwerk indem er einen von dem gelben Aktionsfeld nimmt.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
362: Er verliert 2 Zeit wodurch er seinen Marker auf der Lebens über die Brücke ziehen muss.; [1292: Zufall, 8528: Siegpunkte, 7090: Kooperative Spielform, ]
363: Bevor er aber eine Figur sterben lässt darf er noch die ausführen.; [8536: Aktionspunkte, ]
364: Dazu setzt er zunächst eine Figur von seinem Hof in der Schmiede ein womit er weitere 3 Zeit verliert und produziert auch gleich noch einen Pflug was ihn nochmals 3 Zeit kostet; [3142: Verlierbedingung, 8536: Aktionspunkte, 7090: Kooperative Spielform, ]
365: Erst Bei Spielende erhaltet ihr für die Anzahl eigener Figuren die in der verewigt wurden.; [8528: Siegpunkte, 1492: Siegbedingung, ]
366: Siehe Schlusswertung Seite 12; [8528: Siegpunkte, ]
367: Es gibt keinen passenden freien Platz in der In diesem Fall wird die Figur auf ein freies anonymes Grab an der Kirche gelegt.; [3173: Gemeinsames Spielfeld, ]
368: Hier kann sie in Frieden ruhen bringt aber leider; []
369: keine mehr.; []
370: 2 2 2 2 0 1; []
371: Hinweis Figuren die gestorben sind sollten immer hingelegt werden damit sie sich zur besseren Übersicht von den noch lebenden stehenden unterscheiden.; [7090: Kooperative Spielform, ]
372: Tipp 1; []
373: Die eigenen Figuren möglichst schnell in der unterzubringen ist eine wirkungsvolle Strategie.; [7090: Kooperative Spielform, ]
374: Also habt keine Angst davor Aktionen mit Zeit zu bezahlen!; [8536: Aktionspunkte, ]
375: Tipp 2; []
376: Wenn ihr eine Figur vom Hofplan auf dem Spielplan einsetzt solltet ihr immer daran denken welche Zahl diese Figur trägt.; [3173: Gemeinsames Spielfeld, ]
377: werden im Laufe des Spiels vermutlich sterben.; [3173: Gemeinsames Spielfeld, ]
378: Solltet ihr es also auf die für die Schlusswertung in der Kirche oder abgesehen haben sind Figuren mit einer höheren Zahl zumeist die bessere Wahl.; [8528: Siegpunkte, 1492: Siegbedingung, ]
379: Spielende; []
380: Das Spielende wird eingeläutet wenn entweder Derjenige von euch der mit seiner Figur den letzten Platz bzw. das letzte Grab belegt ist danach nicht noch einmal an der Reihe.; []
381: Alle anderen Spieler kommen im Uhrzeigersinn noch genau einmal dran um eine Aktion auszuführen.; [3142: Verlierbedingung, 8536: Aktionspunkte, ]
382: Wie immer müsst ihr dafür einen Einflussstein von einem Aktionsfeld nehmen oder dürft durch Abgabe von 3 gleichen eine durch führen.; [8536: Aktionspunkte, ]
383: Sollte dabei der insgesamt letzte Stein vom Spielplan genommen werden ob wohl ihr noch nicht alle an der Reihe wart werden die nicht noch einmal aufgefüllt.; [3173: Gemeinsames Spielfeld, ]
384: Stattdessen dürfen die übrigen Spieler eine beliebige durchführen ohne dass sie dafür 3 gleiche Einflusssteine abgeben müssen.; [1292: Zufall, 8536: Aktionspunkte, ]
385: Hinweis; []
386: Sollten während der letzten Aktionen noch Figuren sterben für die es keine passenden freien Plätze bzw. Gräber mehr gibt werden sie einfach aus dem Spiel genommen.; []
387: Sonderfall; []
388: Sollte das Spielende während eines Markttages eingeläutet werden wird der Markttag zunächst ganz durchgespielt.; [8528: Siegpunkte, ]
389: Danach wird geschaut wer von euch das Spielende durch Belegen des letzten Platzes bzw. Grabes eingeläutet hat.; [8528: Siegpunkte, 1492: Siegbedingung, ]
390: Ist es der Spieler der die Marktaktion ausgelöst hatte so war es seine letzte Aktion und alle anderen sind im Uhrzeigersinn noch genau einmal dran.; [164466: Loswerden, 3142: Verlierbedingung, 8536: Aktionspunkte, 7090: Kooperative Spielform, ]
391: War es ein Spieler sind alle Spieler im Uhrzeigersinn noch einmal mit einer Aktion dran.; [3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
392: Als Letzter der Spieler der zuvor den Markttag ausgelöst hatte.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
393: Achtung; []
394: In diesem Fall entfällt die übliche Messe zum Rundenende.; []
395: Erst nach dem alle Spieler ihre letzte Aktion ausgeführt haben wird die letzte Messe gelesen.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
396: Nachdem jeder von euch seine letzte Aktion ausgeführt hat wird noch einmal eine letzte Messe gelesen.; [8536: Aktionspunkte, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
397: Danach kommt es zur Schlusswertung.; [8528: Siegpunkte, ]
398: der letzte freie Platz in der das letzte freie anonyme Grab an der Kirche belegt wird; [3173: Gemeinsames Spielfeld, ]
399: Beispiel Peter hat in seiner Aktion den runden Marker auf seiner Lebenszeitleiste über die Brücke gezogen.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 1492: Siegbedingung, ]
400: Am Ende seiner Aktion muss eine seiner blauen sterben.; [8536: Aktionspunkte, ]
401: Würde er sich für die in der Kirche entscheiden müsste er sie in ein anonymes Grab legen denn Die Plätze in der für Figuren aus der Kirche sind bereits alle belegt.; [3173: Gemeinsames Spielfeld, ]
402: Würde er sich für eine andere seiner entscheiden würde diese einen Platz in der erhalten.; []
403: Reise; []
404: Ihr zählt die Anzahl der Orte die eure Familie auf dem Reiseplan besucht hat Anzahl Marker eurer Farbe und erhaltet entsprechend 1 Ort 1 Punkt 2 Orte 3; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 1492: Siegbedingung, ]
405: Punkte 3; []
406: Orte; []
407: 6 Punkte; []
408: 4 Orte 10 Punkte; [8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
409: 5 Orte 14 Punkte; [8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
410: 6 Orte 18 Punkte Jede Figur die; [8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
411: auf der 4. Stufe steht bringt ihrem Besitzer 6 Punkte.; [8528: Siegpunkte, 1492: Siegbedingung, ]
412: Jede Figur auf der 3. Stufe bringt 4 Punkte.; [8528: Siegpunkte, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
413: Jede Figur auf der 2. Stufe bringt 2 Punkte.; [8528: Siegpunkte, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
414: Auf der 1. Stufe gibt es keine Punkte.; [8528: Siegpunkte, 1492: Siegbedingung, ]
415: Kirche; []
416: Jede Figur auf dem rechten Fenster bringt ihrem Besitzer 2 Punkte auf dem zweiten Fenster 3 Punkte auf dem dritten Fenster 4 Punkte und auf dem linken Fenster 6 Punkte.; [8528: Siegpunkte, 1492: Siegbedingung, ]
417: Figuren im schwarzen Beutel sind nichts wert.; [1292: Zufall, 7090: Kooperative Spielform, ]
418: Schlusswertung; []
419: Ihr erhaltet für Spielfiguren die sich einen Platz in der sichern konnten.; [3142: Verlierbedingung, 8536: Aktionspunkte, ]
420: Dazu zählt ihr sämtliche eigene Figuren in der 1 oder 2 Figuren sind leider nichts wert.; [1492: Siegbedingung, 7090: Kooperative Spielform, ]
421: 3; []
422: Figuren bringen; []
423: 4 4 Figuren sind schon 7 Punkte wert.; [8528: Siegpunkte, 1492: Siegbedingung, ]
424: 5 oder mehr Figuren bringen 12 Punkte.; [8528: Siegpunkte, 1492: Siegbedingung, ]
425: Kundenplättchen; []
426: Am Schluss deckt jeder von euch noch seine verdeckt liegenden Kundenplättchen auf und erhält deren auf gedruckte Münzen Jede Münze ist jeweils noch 1 wert.; [1292: Zufall, 8528: Siegpunkte, 1492: Siegbedingung, ]
427: Sämtliche die ihr erhaltet werden mit euren auf der abgetragen.; [8528: Siegpunkte, 1492: Siegbedingung, ]
428: Wer von euch nun die meisten hat gewinnt das Spiel.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
429: Bei einem Gleichstand gewinnt wer von den Beteiligten mehr Kunden bedient hat.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
430: Bei erneutem Gleichstand gewinnt wer zusätzlich noch mehr lebende Figuren hat.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
431: 3 3 0 02 Beispiel Peters Schlusswertung Reise 6 bei der Schlusswertung 39 Frage; [8528: Siegpunkte, ]
432: Wenn ich ein Gut mit herstellen lasse benötige ich dafür auch ein Familienmitglied in dem Hand Antwort Nein!; []
433: Nur wer mit Zeit ein Gut produziert muss ein Familienmitglied in dem entsprechenden Betrieb aus gebildet haben.; [7090: Kooperative Spielform, ]
434: Frage; []
435: Muss ich einen bzw. nehmen wenn ich dran bin?; []
436: Antwort; []
437: Ja! Außer du führst eine aus indem du 3 Einflusssteine abgibst.; [8536: Aktionspunkte, ]
438: Dann darfst du keinen Stein nehmen.; [3173: Gemeinsames Spielfeld, ]
439: Frage; []
440: Was passiert wenn ich einen schwarzen nehmen muss?; []
441: Antwort; []
442: Der Marker auf deiner Lebenszeitleiste rückt 2 Felder vor.; [8536: Aktionspunkte, 7090: Kooperative Spielform, ]
443: Der wird in den allgemeinen Vorrat gelegt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
444: Dann darfst du die Aktion des Feldes nutzen von dem du den genommen hast.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
445: Frage; []
446: Muss ich eine Aktion ausführen nachdem ich einen Stein genommen habe?; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
447: Antwort Nein!; []
448: Die Aktionen sind freiwillig.; [8536: Aktionspunkte, ]
449: Allerdings findet ein Markttag auf jeden Fall statt auch wenn du nicht daran teilnehmen möchtest.; []
450: Frage; []
451: Müssen Figuren die ich einmal auf dem Spielplan eingesetzt habe dort stehen bleiben Antwort Grundsätzlich ja!; [3173: Gemeinsames Spielfeld, ]
452: Allerdings kann eine Figur ihren Beruf dann wechseln wenn sie mit der Aktion Familie auf den Hof zurückgeholt wird.; [8536: Aktionspunkte, 7090: Kooperative Spielform, ]
453: Außerdem können die Figuren ja auch sterben und werden dann in die oder ein anonymes Grab gelegt.; [3173: Gemeinsames Spielfeld, ]
454: Frage Wenn ich eine Figur von meinem Hofplan auf dem Spiel plan einsetze oder in den schwarzen Beutel werfe muss ich dann die Figur mit der kleinsten Zahl nehmen Antwort Nein!; [1292: Zufall, 3142: Verlierbedingung, 7090: Kooperative Spielform, ]
455: Beim Einsetzen ist die Zahl irrelevant.; []
456: Nur wenn Figuren geboren werden oder sterben spielt die Zahl eine Rolle.; [7090: Kooperative Spielform, ]
457: Impressum Autoren Inka und Markus Brand; []
458: Illustration Layout Dennis Schneider Spielanleitung Alfred Viktor Schulz; []
459: Vertrieb; []
460: Pegasus Spiele GmbH Str. 2; [164466: Loswerden, ]
461: 61169 Friedberg Copyright 2011 GmbH Co. KG; []
462: 17 21073 Hamburg; []
463: Alle Rechte vorbehalten.; [164466: Loswerden, ]
464: http http; []
