0: INHALTSÜBERSICHT SPIELPLAN; []
283: Zunächst kann eine gelbe Armee aus Wien nach Venedig ziehen und die Flotte abtauschen.; [1292: Zufall, ]
284: Die Armeen aus Budapest können mit der Eisenbahn nach Wien fahren dann können sie mit der Armee aus Wien nach Venedig ziehen.; [1292: Zufall, ]
285: Nun stehen drei gelbe Armeen in Venedig und können die Fabrik zerstören.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
286: In die Fall werden die drei Armeen und die Werft vom Spielplan entfernt.; [3173: Gemeinsames Spielfeld, ]
287: 3.; []
288: In neu besetzten oder in de sich keine Militäreinheiten Staaten befinden wird ein eigener abgelegt.; [3173: Gemeinsames Spielfeld, 164466: Loswerden, ]
289: Staaten können nicht mit einem markiert werden.; []
290: Ein bleibt solange in einer Region liegen bis diese alleinig durch einen anderen Staat besetzt ist.; [8536: Aktionspunkte, ]
291: Durch einen Kampf kann es passieren dass ein Staat; [8536: Aktionspunkte, ]
292: der nicht am Zuge ist alleinig eine Region besetzt.; []
293: In diesem Fall wird der bisherige entfernt und durch einen Chip dieses Staates ersetzt.; []
294: Hat ein Staat alle 10 auf dem Spiel plan abgelegt kann er keine weiteren erlangen.; [164466: Loswerden, 3142: Verlierbedingung, ]
295: Wenn er alleinig eine Region besetzt wird ein fremder ersatzlos entfernt.; [73230: Symmetrische Startbedingung, ]
296: Sobald einer seiner 10 wieder verfügbar ist darf er ihn in dieser leeren Region ablegen.; [8536: Aktionspunkte, ]
297: Investor Dieser Spielzug wird in drei Schritten ausgeführt.; []
298: Die Schritte 2 und 3 werden auch dann aus geführt wenn das Spielfeld Investor nicht betreten sondern nur überschritten wird.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
299: In diesem Fall wird zunächst der Spielzug des betretenen vollständig ausgeführt.; [3173: Gemeinsames Spielfeld, ]
300: 1.; []
301: Zinsen auszahlen Jeder Spieler; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
302: der dem Staat Kredit gegeben hat erhält seine Zinsen aus der ausgezahlt.; [8528: Siegpunkte, 1492: Siegbedingung, ]
303: Ist in der nicht genügend Geld um die Zinsen aller Kredite des Staates zu bezahlen muss der Spieler der die Regierung führt auf seine eigenen Zinsen ganz oder teilweise verzichten bzw. die Zinszahlung an andere aus seiner privaten Kasse übernehmen.; [164466: Loswerden, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
304: INVESTOR STEUER; []
305: 2. Investor aktivieren; []
306: Der Spieler der die besitzt Investor erhält aus der Bank 2 ausgezahlt und darf danach in einem beliebigen Staat investieren.; [1292: Zufall, 8536: Aktionspunkte, 1492: Siegbedingung, ]
307: Es kann nur ein Kredit ausgewählt werden der in dem des Staates vorhanden ist.; []
308: Dabei hat der Investor die Wahl ob er einen zusätzlichen Kredit wählt oder einen seiner Kredite dieses Staates aufstockt.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
309: Ein zusätzlicher Kredit wird mit seiner vollen Summe in die entsprechende ein gezahlt und der Spieler nimmt die Karte des Kredits an sich.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
310: Beim Aufstocken wird die Karte des Kredits wieder in den des Staates einsortiert die Karte des neuen Kredits aus der genommen und nur die Differenz zwischen beiden Krediten in die eingezahlt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
311: Beispiel; []
312: Ein Spieler nimmt den italienischen Kredit über 12 an sich und gibt den italienischen Kredit über 4 zurück in die Ablage.; [1292: Zufall, 1492: Siegbedingung, ]
313: Er bezahlt die Differenz von 8 in die italienische Staats kasse.; []
314: 3.; []
315: Ohne Flagge investieren Jeder Spieler der keine Regierung; [1292: Zufall, 8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
316: führt keine Flagge besitzt und nicht im Besitz der ist darf ebenfalls einmal investieren.; []
317: Das Investieren ohne Flagge erfolgt in gleicher Weise wie beim Besitzer der ohne jedoch aus der Bank 2 zu kassieren.; []
318: Dürfen in diesem Fall mehrere Spieler investieren so wird in der Uhrzeigersinn investiert.; [1492: Siegbedingung, ]
319: Ausgangspunkt ist hierbei der Spieler mit der Am Ende des wird geprüft ob es zu kommt.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, 166903: Ankommen, ]
320: Entscheidend ist die Summe aller Kredite eines Spielers im jeweiligen Staat.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
321: Hat aufgrund der Kreditvergabe nein neuer Spieler die höchste Kreditsumme Gleichstand reicht nicht erlangt übernimmt er die Regierung in diesem Staat und bekommt die Flagge ausgehändigt.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
322: Sollten zwei Spieler die bisherige Regierung mit der gleichen Kreditsumme überboten haben erhält der Spieler der in der Uhrzeigersinn zuerst kommt die Flagge.; [8528: Siegpunkte, 3142: Verlierbedingung, 1492: Siegbedingung, ]
323: Ausgangspunkt ist hierbei der Spieler mit der Wechselt die Regierung einer Großmacht die bisher 0 Machtpunkte hat und verliert hierdurch ein Spieler; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
324: seine letzte Regie erhält dieser Spieler 1 von dem Spieler der die Regierung übernimmt.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
325: Sollte ein Spieler die 1. nicht bezahlen können kann er den entsprechenden Kredit nicht vergeben.; [8528: Siegpunkte, 164466: Loswerden, 8536: Aktionspunkte, 1492: Siegbedingung, ]
326: Diese Regel verhindert einen schnellen Verlust der letzten Regierung erfahrene Spielerunden können auf diese auch verzichten.; []
327: Schließlich gibt der bisherige Besitzer die an seinen linken weiter.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
328: Steuer; []
329: Dieser Spielzug wird in drei Schritten ausgeführt 1. Steuern; []
330: Die Steuern des Staates setzen sich aus zwei Komponenten zusammen pro Fabrik 2 pro eigenem 1; [1492: Siegbedingung, ]
331: Eine Fabrik gilt als unbesetzt wenn sich keine feindliche Armee in der Heimatprovinz der Fabrik befindet.; [3173: Gemeinsames Spielfeld, ]
332: Das Maximum des möglichen Steuer beträgt 20 10 aus 5 Fabriken plus 10 aus 10; []
333: Die ermittelten Steuern werden mit dem Spiel stein auf der markiert.; [1492: Siegbedingung, ]
334: Bei Steuern von 5 oder weniger wird der Spielstein auf das unterste Feld der gesetzt 2 5 bei Steuern von 15 oder mehr auf das oberste Feld der 15 Bei einer Steigerung auf der gegen über dem vorherigen Stand erhält die Regierung Spieler aus der Bank eine ausgezahlt.; [1292: Zufall, 1492: Siegbedingung, ]
335: Die Prämie beträgt pro zusätzlichem Feld 1 Bei gleichbleibenden oder sinkenden Steuern wird keine Prämie ausgezahlt die Regierung muss allerdings auch nichts bezahlen.; [8536: Aktionspunkte, ]
336: 2.; []
337: Geld kassieren; []
338: Aus seinen Steuern muss der Staat seinen Armeen und Flotten sofort jeweils 1 Sold bezahlen.; [1492: Siegbedingung, ]
339: Nur der verbleibende Betrag wird aus der Bank in die eingezahlt.; []
340: Ist der Betrag negativ kommt es zu keiner Zahlung; []
341: STEUER; []
342: 3.; []
343: Machtpunkte addieren; []
344: Der Staat erwirbt entsprechend seinen Steuern zusätzliche Machtpunkte die jeweils rechts auf der verzeichnet sind.; [8528: Siegpunkte, ]
345: Die neu erworbenen Machtpunkte werden auf der Zählleiste am unteren Spielfeldrand zum alten Punktestand hinzugerechnet.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, ]
346: Sobald ein Staat insgesamt 25 Machtpunkte er reicht hat endet das Spiel.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 166903: Ankommen, ]
347: Sollte bei dem Zug auf Steuer das überschritten worden sein werden Punkt 2 und 3 des nicht mehr ausgeführt.; [8528: Siegpunkte, 1492: Siegbedingung, ]
348: Beispiel Die deutschen stehen auf der Steuer leiste bei 6 und auf der Zählleiste bei 1.; []
349: An ergibt sich die deutsche Situation aus der nebenstehenden Abbildung; []
350: Das Deutsche Reich wählt das Spielfeld Steuer aus.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
351: 1.; []
352: Die Steuern betragen 7 2 Fabriken und; []
353: 3 Damit steigt der von 6 auf 7 Da der um ein Feld gestiegen ist.; [8536: Aktionspunkte, 7090: Kooperative Spielform, 166903: Ankommen, ]
354: erhält die deutsche Regierung Spieler mit der deutschen Flagge 1 als aus der Bank ausgezahlt.; [8528: Siegpunkte, 1492: Siegbedingung, ]
355: 2.; []
356: Das Deutsche Reich hat zwei Armeen und eine Flotte daher werden aus der Bank 4 7 Steuern abzüglich 3 Sold in die deutsche gezahlt.; [1492: Siegbedingung, ]
357: 3.; []
358: Aus der lässt sich für die Punk 2 ablesen entsprechend werden auf der Zählleiste 2 Punkte addiert und der deutsche Marker wird von 1 nach 3 verschoben.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
359: STRATEGIETIPPS; []
360: An die Machtpunkte denken; [8528: Siegpunkte, ]
361: Als Investor denken Nur wenn Staaten Fabriken bauen ablegen und auch tatsächlich auf das Spielfeld Steuer ziehen steigern sie ihre Machtpunkte.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 3142: Verlierbedingung, 8536: Aktionspunkte, ]
362: Konflikte mit anderen Großmächten lassen sich oft nicht vermeiden wer aber als Regierung ständig nur rüstet und Kriege führt wird die Macht; [8536: Aktionspunkte, ]
363: punkte seines Staates nicht erhöhen können.; [8528: Siegpunkte, 8536: Aktionspunkte, ]
364: Es ist wichtig die Staaten die man regiert zu entwickeln.; []
365: Dabei sollte aber nicht vergessen werden dass man selber Investor ist und für den eigenen auch frisches Geld benötigt.; [8536: Aktionspunkte, ]
366: Das Spielfeld Investor kostet zwar den Staat einen Zug und viel Geld aber es ist die wichtigste Geldquelle für die Spieler.; [3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
367: Nicht zu sehr auf einen einzelnen Staat konzentrieren Weitere Kredite an den eigenen Staat zu geben ist verlockend denn hierdurch lässt sich die eigene festigen und der Staat bekommt Geld um Fabriken zu bauen und Zinsen zu zahlen.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
368: Es ist jedoch gefährlich wenn keine anderen Spieler nennenswert in diesem Staat investiert sind.; [164466: Loswerden, 3142: Verlierbedingung, ]
369: Schnell kann es passieren dass Überraschend schnelles Ende Haben Staaten sich gut entwickelt also viele Fabriken gebaut und viele abgelegt können sie oft überraschend schnell Macht punkte sammeln.; [8528: Siegpunkte, 164466: Loswerden, ]
370: Bereits mit 4 Fabriken und 7 bekommt ein Staat auf dem Spielfeld Steuer 10 Machtpunkte hinzu.; [8528: Siegpunkte, 3173: Gemeinsames Spielfeld, ]
371: Dadurch kann es passieren dass selbst ein zurückliegender Staat erstaunlich schnell 25 Machtpunkte erreicht.; [8528: Siegpunkte, 7090: Kooperative Spielform, ]
372: der eigene Staat von mehreren Großmächten angegriffen wird.; [1492: Siegbedingung, ]
373: HÄUFIGE FRAGEN; []
374: Können auch Flotten Fabriken zerstören?; [8536: Aktionspunkte, ]
375: Flotten können keine Fabriken zerstören da sie ja aus einer nicht in eine Landregion zurückkehren dürfen.; []
376: Wann können Völker überhaupt mit ihren Militäreinheiten kämpfen?; [8536: Aktionspunkte, ]
377: Dafür gibt es zwei Gelegenheiten 1. Staaten die; [1492: Siegbedingung, ]
378: den Spielzug Manöver auswählen dürfen jederzeit gegen fremde Armeen und oder Flotten kämpfen.; [8536: Aktionspunkte, ]
379: 2. Staaten die; []
380: nicht am Zuge sind dürfen gegen jede fremde Armee oder Flotte kämpfen die; [8536: Aktionspunkte, ]
381: sich gerade in eine Region hineinbewegt hat in der sie Militäreinheiten haben.; []
382: Dies gilt auch wenn eine befreundete Armee in eine Heimatprovinz zieht oder wenn eine befreundete Armee ihren Status zu feindlich ändert.; [1292: Zufall, 3142: Verlierbedingung, 8536: Aktionspunkte, ]
383: Wann wird ein vom Spielplan entfernt?; [3173: Gemeinsames Spielfeld, ]
384: Nur wenn die Region alleinig von einer anderen Großmacht besetzt ist.; [8536: Aktionspunkte, ]
385: Der bisherige bleibt also auch dann liegen wenn sich in der Region Militäreinheiten mehrerer Staaten oder über haupt keine Militäreinheiten mehr befinden.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 1492: Siegbedingung, ]
386: Können Kredite zurückgegeben werden?; []
387: Eine Rückgabe von Krediten ist nur möglich wenn dem jeweiligen Staat gleichzeitig ein neuer höherer Kredit gewährt wird.; []
388: Kann der Investor zweimal investieren wenn er keine Regierung führt?; []
389: Nein; []
390: .; []
391: Es ist nicht möglich die zu nutzen und gleichzeitig ein zweites Mal zu investieren weil man keine Regierung führt.; []
392: Können Armeen und Flotten gegeneinander kämpfen?; []
393: Dies ist nur möglich wenn die Flotte noch im Hafen liegt und die Heimatprovinz des Hafens von einer Armee betreten wird bzw. die Armee sich dort bereits befindet.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 1492: Siegbedingung, ]
394: Können auch Inseln mit Armeen betreten werden?; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
395: Nein; []
396: .; []
397: Die Inseln auf dem Spielplan Sizilien Sardinien Korsika Kreta haben keine namentliche Bezeichnung und zählen nicht als eigen ständige Region.; [8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 1492: Siegbedingung, ]
398: Sie können also nicht betreten werden.; []
399: Was bedeutet ein unterbrochenes Eisen; []
400: Steht beispielsweise in Berlin eine feindliche russische Armee dann ist es von Hamburg Köln oder München aus nicht möglich mit der Eisen bahn nach Danzig zu gelangen.; [3173: Gemeinsames Spielfeld, ]
401: Können auch in Provinzen Großmächte abgelegt werden?; []
402: Nein; []
403: .; []
404: Eine feindliche Besetzung einer fremden Heimatprovinz verhindert aber dass der fremde Staat dort Militäreinheiten aufstellen für eine dort gelegene Fabrik Steuern einnehmen oder eine neue Fabrik bauen kann.; [8536: Aktionspunkte, ]
405: Was passiert wenn die Vorräte der Staaten erschöpft sind?; []
406: In diesem Fall können keine weiteren Armeen oder Flotten mehr aufgestellt bzw. keine weiteren abgelegt werden.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
407: Dürfen Spieler sich Geld leihen oder schenken lassen?; [8536: Aktionspunkte, ]
408: Nein; []
409: .; []
410: Die Spieler dürfen sich weder untereinander aus einer noch aus der Bank Geld leihen oder schenken lassen.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
411: Es ist ihnen lediglich möglich den Staatskassen Geld zu schenken oder im Rahmen des Zuges Investor genau definierte Kredite zu geben.; [8536: Aktionspunkte, ]
412: Dürfen Absprachen getroffen werden?; []
413: Ja das ist nicht verboten.; []
414: So können die Staaten untereinander Absprachen über treffen oder Nichtangriffspakte vereinbaren.; [8536: Aktionspunkte, ]
415: Es gibt jedoch keine Spielregel die das Einhalten von Absprachen erzwingen könnte.; []
416: Aber auch wenn Absprachen eingehalten werden kann sich die Lage durch einen Regierungswechsel schlagartig ändern.; [8536: Aktionspunkte, ]
417: Dürfen; []
418: Armeen Inseln betreten?; []
419: Nur die Provinz Dublin Irland kann mit Armeen betreten werden.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
420: Die anderen Inseln haben keine Bedeutung im Spiel.; [164466: Loswerden, 3142: Verlierbedingung, 166903: Ankommen, ]
421: HÄUFIGE FRAGEN; []
422: Welche Meerengen können von Armeen überschritten werden?; [8536: Aktionspunkte, 1492: Siegbedingung, ]
423: Armeen können von Bulgarien in die Türkei ziehen.; [1292: Zufall, 8536: Aktionspunkte, ]
424: Allerdings ist es weder möglich mit Armeen von Schweden nach Dänemark noch von Spa nach Marokko zu ziehen.; [1292: Zufall, ]
425: Hier benötigen Armeen einen Konvoi über Flotten.; []
426: Gibt es in Großbritannien eine Eisenbahn verbindung nach Irland?; []
427: Nein.; []
428: Armeen können nicht mit der Eisenbahn in die Provinz Dublin ziehen.; [1292: Zufall, 8536: Aktionspunkte, ]
429: Für weitere Fragen besuchen Sie uns unter imperial; []
430: ZUR GESCHICHTE; []
431: VON IMPERIAL Imperial konnte seit den Jahren immer nur in privaten Kreisen gespielt werden da nur wenige Exemplare existierten.; [7090: Kooperative Spielform, ]
432: Das alte Imperial musste im Hinblick auf Spiel dauer Komplexität und an die Bedürfnisse einer solchen Veröffentlichung angepasst werden.; [166903: Ankommen, ]
433: Dies stellte eine Herausforderung dar die nur mit dem hohen zeitlichen und inhaltlichen Engagement zahlreicher Testrunden gemeistert werden konnte.; [8528: Siegpunkte, 1492: Siegbedingung, ]
434: Immer wieder kamen neue Ideen auf den Tisch wurden intensiv diskutiert aus getestet und oft genug auch wieder verworfen.; []
435: In den blieb Imperial jedoch unverändert Sechs Großmächte in Europa vor dem ersten Weltkrieg rivalisieren ökonomisch und militärisch miteinander und stehen dabei unter dem wechselnden Einfluss unterschiedlicher Spieler.; [3173: Gemeinsames Spielfeld, ]
436: Aber auch in den Vereinigten Staaten und in Australien bildeten sich Testrunden.; []
437: Ein besonderer Dank geht daher an Peter und Ralph die sehr engagiert und konstruktiv an der Spielentwicklung mitgewirkt haben.; []
438: Ohne Peter der sich von der Begeisterung für Imperial vorbehaltlos anstecken ließ ohne Peter der mit seinen und dem entscheidend zum Erfolg bei trug ohne Matthias der sein Können bewies und nicht zuletzt ohne die vielen anderen hier vielen und Helfer wäre die Veröffentlichung nicht möglich gewesen.; []
439: Ich danke auch meiner Frau die trotz ihrer Schwangerschaft eine Geduld während der Spielentwicklung aufbrachte.; []
440: Die meisten Testrunden fanden wahrscheinlich im Hamburger statt.; [7090: Kooperative Spielform, ]
441: Sehr wichtig war für uns auch das regelmäßig stattfindende Allen Spielern wünsche ich viel Erfolg bei ihren imperialen Hamburg im September 2006; [8528: Siegpunkte, 164466: Loswerden, 8536: Aktionspunkte, ]
442: Mac VARIANTE; []
443: ZU IMPERIAL; []
444: Variante ohne Diese Variante führt zu einer stabileren Kontrolle über Regierungen.; []
445: Bei dieser Variante gibt es keine Stattdessen dürfen alle Spieler unmittelbar nach jedem Zug einer Großmacht dort investieren.; [164466: Loswerden, 8536: Aktionspunkte, 1492: Siegbedingung, ]
446: Es dürfen also nur der Großmacht Kredite gegeben werden die gerade gezogen hat.; [1292: Zufall, 8536: Aktionspunkte, ]
447: Als Beispiel sei ein Zug Italiens betrachtet; []
448: Nach dem Zug Italiens darf zuerst der Besitzer der italienischen Flagge in Italien investieren danach im Uhrzeigersinn alle anderen Spieler.; [164466: Loswerden, 8536: Aktionspunkte, ]
449: Spieler die keine Flagge besitzen dürfen einer Großmacht jederzeit; [1492: Siegbedingung, ]
450: Kredit geben also auch unmittelbar vor ihrem Spielzug.; [8536: Aktionspunkte, ]
451: Auf dem Spiel feld Investor werden nur die Zinsen der Kredite ausgezahlt.; [7090: Kooperative Spielform, 166903: Ankommen, ]
452: Das Überschreiten des Investor hat bei dieser Variante keine Auswirkung.; [1492: Siegbedingung, ]
453: Sollte von einem Land am Anfang noch kein Kredit vergeben worden sein so können Kredite an dieses Land direkt im Anschluss an den Zug des vorherigen Landes vergeben werden.; []
454: Als erstes darf die Regierung des http imperial; []
455: KURZREGEL; []
456: Die Staaten ziehen auf dem Rondell; [1292: Zufall, ]
457: Felder sind; []
458: frei für jedes weitere Feld zahlt die Regierung Spieler 2 an die Bank; [8536: Aktionspunkte, 1492: Siegbedingung, ]
459: insgesamt maximal 6 Felder vorrücken; []
460: FABRIK; []
461: Eine Fabrik kann für 5. gebaut werden.; [8528: Siegpunkte, 8536: Aktionspunkte, ]
462: Bank braune Stadt Stadt; [1492: Siegbedingung, ]
463: Werft; []
464: PRODUKTION Jede Fabrik produziert eine Armee bzw. eine Flotte.; [1492: Siegbedingung, ]
465: Aufstellen; []
466: In der Provinz der Fabrik Flotten im Hafen; []
467: IMPORT; []
468: Es können max. 3 neue Militäreinheiten für je 1. gekauft werden Bank die Einheiten können in den frei aufgestellt werden.; [8536: Aktionspunkte, ]
469: MANÖVER; []
470: 1. Flotten dürfen in eine benachbarte ziehen.; [1292: Zufall, ]
471: 2.; []
472: Armeen dürfen in eine benachbarte Landregion oder über Flotten in eine Landregion ziehen eine Armee pro Flotte; [1292: Zufall, 8536: Aktionspunkte, ]
473: Vorher oder nachher zusätzlich zwischen Eine Fabrik kann von 3 Armeen zerstört werden.; [8536: Aktionspunkte, ]
474: Kämpfe auch bei Flotten 1 1 3. Chip in neu besetzte bzw. Landregionen ohne fremde Militäreinheiten ablegen nicht in Provinzen der Großmächte; [164466: Loswerden, 1492: Siegbedingung, ]
475: INVESTOR Staate Spieler; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
476: Bank Spieler Spieler Staat; [164466: Loswerden, 1492: Siegbedingung, ]
477: Teil 2 und 3 auch beim Überschreiten des 1. Die Zinsen für die Kredite des Staates werden an die Spieler ausgezahlt die Regierung muss; [1492: Siegbedingung, ]
478: sicherstellen dass mindestens alle Kredite der anderen Spieler bedient werden.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
479: 2.; []
480: Der Spieler mit der erhält aus der Bank 2. und darf einen neuen Kredit geben oder einen vorhandenen Kredit aufstocken Geld in den Staat zahlen; [8528: Siegpunkte, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
481: Anschließend wechselt die zu dem nächsten Spieler im Uhrzeigersinn.; [164466: Loswerden, ]
482: 3.; []
483: Alle Spieler ohne Regierung dürfen ebenfalls investieren.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
484: STEUER; []
485: 1.; []
486: Die Steuer jede Fabrik 2 jeder Chip 1 wird auf der abgetragen steigt der Marker; [8528: Siegpunkte, 1492: Siegbedingung, ]
487: erhält die Bank Spieler Regierung Spieler den Anstieg als aus der Bank.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
488: Bank Staat; []
489: 2. Steuer minus; []
490: 1 Sold pro Armee; []
491: Flotte kassieren 3. Punkte rechts auf der auf der Zählleiste addieren.; [8528: Siegpunkte, 1492: Siegbedingung, ]
492: Spielende Sobald ein Staat 25 Machtpunkte erreicht hat.; [8528: Siegpunkte, 1492: Siegbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
493: Siegpunkte Zins der Kredite mal Faktor des Staates 0 5 Bargeld imperial Dr. Brettspiel Portal http imperial http; [8528: Siegpunkte, 1492: Siegbedingung, ]
