0: Zum Spiel gehören 120 Karten; [1292: Zufall, 164466: Loswerden, ]
250: Zieht ein Spieler mehrere Karten nach muß er sich bei jeder Karte aufs Neue für die Möglichkeit oder entscheiden.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
251: Beispiel; []
252: Ein Spieler muß drei Karten ergänzen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, ]
253: Er zahlt zunächst zwei Rohstoffe und sucht sich aus Stapel eine Karte aus.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
254: Danach zahlt er nochmals zwei Rohstoffe und sucht sich aus Stapel Beine Karte aus.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
255: Zuletzt zieht er sich kostenlos die oberste verdeckte Karte von Stapel Wann darf eine Karte ausgetauscht werden?; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
256: Mußte ein Spieler in seinem Zug keine Karte nachziehen und nur dann darf er maximal eine seiner Karten; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, ]
257: Er schiebt eine Karte verdeckt unter einen beliebigen Danach; [1292: Zufall, ]
258: darf er sich wie unter oder beschrieben eine neue Karte nehmen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
259: Wichtig Gerade erworbene Karten dürfen in diesem Zug nicht mehr eingesetzt werden.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
260: Mit dem Auffüllen seiner Kartenhand beendet der Spieler sei Zug.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
261: Sein Gegner ist an der Reihe und beginnt seinen Zug.; []
262: Das Ende des Spiels; []
263: Das Spiel endet sofort sobald ein Spieler 12 Siegpunkte erreicht hat.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
264: Tip; []
265: Um Ihre erste abzukürzen können Sie auch auf weniger Siegpunkte spielen.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
266: Auswahl spezieller Karten Hier können Sie auch während des Spiels nachschlagen falls Fragen auftauchen!; [1292: Zufall, 164466: Loswerden, ]
267: Aktionskarten gelbe Textfelder; [1292: Zufall, ]
268: Das Ausspielen dieser Karten aus der Hand kostet Sie keine Rohstoffe!; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, ]
269: 1. Schwarzer; []
270: Ritter; []
271: Eine mit der man Ritter des Gegners beseitigen kann.; []
272: Schutzkarte; []
273: Auch wer selbst keinen Ritter besitzt darf den Schwarzen Ritter ausspielen.; []
274: Würfelt er dann eine 6 verliert er selbst keinen Ritter.; [1292: Zufall, ]
275: Beim Zurücknehmen des geschlagenen Ritters erlaubte berücksichtigen.; []
276: 4.; []
277: Eine Schutzkarte gegen den Schwarzen Ritter; [1292: Zufall, ]
278: Der Angreifer verliert nicht nur wenn er eine 6 würfelt sondern auch bei einer 3 4 oder 5; [1292: Zufall, 3142: Verlierbedingung, 8536: Aktionspunkte, ]
279: das heißt seine Gewinnchance beträgt nur noch 33 Diese Schutzkarte muß ausgespielt werden bevor der Gegner würfelt.; [1292: Zufall, ]
280: Beim Zurücknehmen des geschlagenen Ritters erlaubte berücksichtigen.; []
281: 2.; []
282: Feuerteufel; []
283: Eine mit der man Gebäude des Gegners zerstören kann.; [1492: Siegbedingung, ]
284: Schutzkarte Bischof; []
285: Auch wer selbst noch kein Gebäude besitzt darf den Feuerteufel ausspielen.; [1492: Siegbedingung, ]
286: Würfelt er dann eine 6 verliert er selbst kein Gebäude.; [1292: Zufall, 1492: Siegbedingung, ]
287: Beim Zurücknehmen der Karte erlaubte berücksichtigen.; [1292: Zufall, ]
288: Alle Flotten und Ritter sind keine Gebäude und deshalb mit dem Feuerteufel nicht angreifbar.; [164466: Loswerden, 1492: Siegbedingung, ]
289: 3. Spion; []
290: Eine mit der man dem Gegner eine Karte stehlen kann.; [1292: Zufall, ]
291: Setzt ein Spieler einen Spion ein muß ihm sein Gegner alle Handkarten zeigen.; [1292: Zufall, 164466: Loswerden, 3142: Verlierbedingung, ]
292: Der Spieler darf sich eine dieser Hand karten nehmen und sofort einsetzen wenn er das möchte und falls erforderlich die erforderlichen Rohstoffen bezahlt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
293: 5.; []
294: Raubzug; []
295: Eine mit der man dem Gegner Rohstoffe stehlen kann.; []
296: Hat der Gegner nur 1 Rohstoff so kann man ihm nur diesen einen rauben.; [8536: Aktionspunkte, ]
297: Ein Rohstoff kann nur geraubt werden wenn man selbst noch Platz auf seiner Landschaftskarte hat zum Hochdrehen Schutzkarte Bischof; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
298: 6. Kundschafter; []
299: Die eigene neu gebaute Siedlung kann mit ausgestattet werden.; [3173: Gemeinsames Spielfeld, ]
300: Diese Karte muß sofort beim Bau einer neuen Siedlung gespielt werden.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
301: Der Spieler darf sich alle Karten des ansehen und 2 Karten aussuchen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, ]
302: Danach muß er den Stapel mischen und verdeckt zurücklegen.; [1292: Zufall, ]
303: 11 mit 4 via 1 7. Bischof; []
304: Eine Schutzkarte gegen den Feuerteufel und den Raubzug; [1292: Zufall, ]
305: Der Angreifer verliert nicht nur wenn er eine 6 würfelt sondern auch bei einer 3 4 oder 5; [1292: Zufall, 3142: Verlierbedingung, 8536: Aktionspunkte, ]
306: das heißt seine Gewinnchance beträgt nur noch 33 Diese Schutzkarte muß ausgespielt werden bevor der Gegner würfelt.; [1292: Zufall, ]
307: Beim Zurücknehmen der Karte erlaubte berücksichtigen.; [1292: Zufall, ]
308: 10.; []
309: Karawane Umtausch von eigenen Rohstoffen.; [8528: Siegpunkte, ]
310: Der Spieler kann 2 beliebige Rohstoffe auch verschiedene in seinem Fürsten gegen 2 andere Umtauschen.; [1292: Zufall, 164466: Loswerden, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
311: Beispiel; []
312: Der Spieler dreht seine Wald landschaft von 3 auf 1 Holz herunter dafür dreht er eine und eine um je 1 Einheit hoch.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
313: blaue Textfelder; []
314: Sie kommen nur durch den Ereigniswürfel ins Spiel werden sofort vorgelesen und nicht auf die Hand genommen.; [1292: Zufall, ]
315: 8. Alchimist nach Wunsch.; []
316: Der wird nicht gewürfelt der Spieler sucht sich eine Zahl aus und legt diese Würfelzahl nach oben hin.; [1292: Zufall, ]
317: Das Ergebnis gilt für beide Spieler.; [164466: Loswerden, 1492: Siegbedingung, ]
318: Der Ereigniswürfel wird wie üblich zuerst geworfen und das Ereignis ausgeführt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
319: 11.; []
320: Seuche Gilt für beide Spieler wirkt nur gegen Städte.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
321: Alle 4 Landschaften rund um eine Stadt verlieren je 1 Rohstoff sofern vorhanden Landschaften die an zwei Städte angrenzen verlieren aber auch nur 1 Rohstoff. und Wasserversorgung.; [8528: Siegpunkte, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
322: 9. Händler 2 für 1.; []
323: Der Spieler nimmt seinem Gegner 1 oder 2 beliebige Rohstoffe ab und gibt ihm dafür 1 seiner Rohstoffe.; [1292: Zufall, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
324: Dieser ist natürlich nur mit Rohstoffen erlaubt; []
325: die vorhanden sind außerdem muß bei beiden Spielern für die getauschten Rohstoffe Platz auf Landschaften vorhanden sein wer; [164466: Loswerden, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
326: auf seiner schon 3 Holz besitzt kann kein Holz mehr eintauschen; []
327: 12. Baumeister Beide Spieler dürfen sich je eine Handkarte aussuchen.; [1292: Zufall, 8536: Aktionspunkte, ]
328: Der Spieler der an der Reihe ist sucht sich zuerst einen Stapel aus.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
329: Gegner muß einen anderen Stapel wählen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
330: Die Spieler müssen dafür eine ihrer Handkarten abgeben das kann aber auch die soeben ausgesuchte sein.; [1292: Zufall, 8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
331: Die Reihenfolge der Karten in den Stapeln darf nicht verändert werden.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
332: 12 Bürgerkrieg; []
333: Vernichtet Ritter und Flotten in beiden; [1292: Zufall, ]
334: Der Spieler der an der Reihe ist beginnt.; []
335: Wer keine Flotte und keinen Ritter besitzt ist von dieser Karte nicht betroffen.; [1292: Zufall, 1492: Siegbedingung, ]
336: Beim Zurücknehmen der geschlagenen Einheit erlaubte berücksichtigen.; []
337: 14.; []
338: Ertragreiches Jahr für Besitzer von befestigten Lagern gilt für beide Spieler.; [8536: Aktionspunkte, ]
339: Landschaften die an zwei Lager angrenzen erhalten 2 Rohstoffe dazu.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
340: Landschaften die schon 3 Rohstoffe haben erhalten natürlich keine dazu.; [8528: Siegpunkte, 1492: Siegbedingung, ]
341: 15.; []
342: Konflikt Vorteil für den Besitzer der figur.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
343: Der Gegner muß seine Handkarten zeigen der Besitzer; [1292: Zufall, ]
344: der sucht 2 Karten aus und schiebt sie verdeckt unter einen; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
345: Der Gegner darf seine Handkarten erst am Ende seines nächsten eigenen Zuges ergänzen.; [1292: Zufall, ]
346: Besitzt kein Spieler die hat die Karte keine Auswirkungen.; [1292: Zufall, 8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
347: 13 16. Fortschritt gilt für beide Spieler.; [164466: Loswerden, 8536: Aktionspunkte, ]
348: Beispiel; []
349: Ein Spieler besitzt in seinem Fürstentum 2 Klöster und 1 Bibliothek; [8528: Siegpunkte, 1492: Siegbedingung, ]
350: er erhält sofort 3 beliebige Rohstoffe und dreht die Landschaften seiner Wahl entsprechend auf die höheren Werte.; [1292: Zufall, 8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
351: Die Karte Universität ist Bestandteil der grüne Textfelder 17. Sägewerk Eisengießerei; [1292: Zufall, ]
352: Erhöhen den eigenen jeder dieser Ausbauten verdoppelt den in den auf der Karte beschriebenen Landschaften.; [1292: Zufall, 8528: Siegpunkte, 1492: Siegbedingung, ]
353: Beispiel; []
354: Eine grenzt an 2 Wird die Zahl eines die gewürfelt erhält diese Landschaft 2 Getreide statt 1 Besitzt die Landschaft schon; [1292: Zufall, 8536: Aktionspunkte, 1492: Siegbedingung, ]
355: 2 Getreide kommt nur noch 1 Rohstoff dazu.; []
356: 18. Verbessern den müssen nicht in der Nachbarschaft der erwähnten Landschaft liegen.; []
357: So kann ein Spieler beispielsweise Wolle 2 zu 1 Umtauschen wenn die zwischen 2 Landschaften plaziert ist.; [164466: Loswerden, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
358: Die Rohstoffe die umgetauscht werden müssen sich nicht auf einer Landschafts karte befinden.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
359: Flotten gelten als Einheiten.; []
360: 19.; []
361: Befestigtes; []
362: Lager Schutzkarte gegen den Räuber.; [1292: Zufall, ]
363: Sollte der Spieler trotz eines Lagers oder mehrerer mehr als 7 Rohstoffe besitzen verlieren auch die und in der Nachbar schaft des Lagers ihre Rohstoffe.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
364: 20. Schmiede Erhöht; []
365: die eigene Beispiel; []
366: Ein Spieler hat in seinem Fürstentum 2 Ritter mit den Stärkewerten 2 und 3 plaziert Gesamtstärke 5 Baut er eine Schmiede so erhöht sich die Stärke jedes Ritters um 1 Punkt auf insgesamt 7 Stärkepunkte.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
367: 21.; []
368: Kloster Erlaubt mehr Karten auf der Hand.; [1292: Zufall, 8528: Siegpunkte, 164466: Loswerden, ]
369: Wer ein Kloster baut darf am Ende seines Zuges eine Karte mehr auf die Hand nehmen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, ]
370: Besitzt ein Spieler zwei Klöster darf er 2 Karten mehr 5 Karten auf der Hand halten.; [1292: Zufall, 164466: Loswerden, 1492: Siegbedingung, ]
371: Verliert ein Spieler ein Kloster so verringert sich die Anzahl seiner erlaubten Handkarten überzählige Karte unter einen beliebigen stapel schieben 22.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
372: Ritter Ritter haben zwei Fähigkeiten jede ist durch ein Symbol dargestellt und eine Zahl zeigt ihren Wert an.; [1292: Zufall, 8536: Aktionspunkte, 1492: Siegbedingung, ]
373: Der Handschuh steht für Stärke.; [8536: Aktionspunkte, ]
374: Ein Ritter mit der schwarzen Zahl 3 hat eine Stärke von Der steht für Geschicklichkeit in Ein Ritter mit der roten Zahl 2; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
375: hat also 2 Ritter gelten als Einheiten.; []
376: rote Textfelder; []
377: Alle dieses gelten als Gebäude.; [164466: Loswerden, 1492: Siegbedingung, ]
378: Schutzkarte gegen die Seuche plus 1 Siegpunkt.; [1292: Zufall, 8528: Siegpunkte, 1492: Siegbedingung, ]
379: Geschützt sind alle 4 Landschaften einer Stadt wird die Seuche aufgedeckt verliert keine dieser 4 Landschaften einen Rohstoff.; [8528: Siegpunkte, 3142: Verlierbedingung, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
380: Dies gilt auch für Landschaften zwischen zwei Städten von denen nur eine ein besitzt.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
381: 24. Wasserversorgung; []
382: Stärkster Schutz gegen die Seuche plus 1 Siegpunkt.; [8528: Siegpunkte, 1492: Siegbedingung, ]
383: Geschützt sind alle Landschaften eines wird die Seuche; [164466: Loswerden, ]
384: aufgedeckt verliert keine Landschaft dieses Spielers einen Rohstoff.; [8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
385: 25. Bibliothek Erlaubt mehr Karten auf der Hand plus 1 Siegpunkt.; [1292: Zufall, 8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
386: Wer eine Bibliothek baut darf am Ende seines Zuges eine Karte mehr auf die Hand nehmen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, ]
387: Besitzt ein Spieler zwei oder 1 Bibliothek und 1 Kloster darf er 5 Karten auf der Hand halten.; [1292: Zufall, 164466: Loswerden, ]
388: Verliert ein Spieler die Bibliothek so verringert sich die Anzahl seiner erlaubten Handkarten überzählige Karte unter einen beliebigen stapel schieben 26. Hafen Erhöht die eigene Handelsmacht.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 1492: Siegbedingung, ]
389: Beispiel; []
390: Ein Spieler besitzt 3 Flotten.; [8528: Siegpunkte, 1492: Siegbedingung, ]
391: Nach dem Bau des Hafens sind seine Flotten 6 wert statt 3 27.; [8528: Siegpunkte, 1492: Siegbedingung, ]
392: Markt Handelskontor; []
393: Der einzige Zweck dieser Ausbauten ist die Stärkung der eigenen Handelsmacht.; [8528: Siegpunkte, 1492: Siegbedingung, ]
394: 28.; []
395: Rathaus Verbilligt die Suche nach dringend benötigten Karten plus 1 Siegpunkt.; [1292: Zufall, 8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
396: Wer ein Rathaus gebaut hat muß nur 1 Rohstoff zahlen wenn er sich aus einem Kartenstapel eine Karte heraussuchen möchte.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
397: Besitzt ein Spieler 2; [164466: Loswerden, 1492: Siegbedingung, ]
398: Rathäuser muß er trotzdem einen Rohstoff zahlen.; []
399: 29.; []
400: Kirche; []
401: Schutzkarte gegen den Bürgerkrieg plus 1 Siegpunkt.; [1292: Zufall, 8528: Siegpunkte, 1492: Siegbedingung, ]
402: Steht in einer Stadt eine Kirche sind alle Ritter und Flotten geschützt die sich in dieser Stadt befinden wenn die Karte Bürgerkrieg aufgedeckt wird.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
403: 30. Verbessert; []
404: den Gold Rohstoffe können im Verhältnis 1 zu 1 gegen andere Rohstoffe umgetauscht werden in beliebiger Menge.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
405: 31.; []
406: Der Koloss von Der einzige Zweck dieses es bringt 2 Siegpunkte ein.; [8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
407: 15 Inhalt Siedler Kartenspiel Startkarten; [1292: Zufall, ]
408: 7 Straßen 1 Schmiede 1; []
409: Handelskontor schwarz rotes Wappen; []
410: 5 Siedlungen 3; []
411: Befestigtes Lager 1; []
412: Rückseite; []
413: 7 Städte 6 1 6; [8528: Siegpunkte, 1492: Siegbedingung, ]
414: je 1 Landschaft 10 je 1; [8528: Siegpunkte, ]
415: Lehm Getreide; []
416: 1 Koloß 1 Straße 2 Siedlungen.; []
417: Rückseite; []
418: Fragezeichen Holz; []
419: Erz Gold Wolle; []
420: 1 Hafen Startkarten 2; [1292: Zufall, ]
421: Ertragreiches Jahr 1 Sägewerk 3; []
422: Schwarzer; []
423: Ritter rot weißes Wappen; []
424: 1 Jahreswechsel 1 Eisengießerei 2; []
425: Kundschafter Rückseite; []
426: 1 Baumeister 1 2 Bischof 6 je 1 Landschaft 2; [8528: Siegpunkte, ]
427: Fortschritt 1 2 Händler 1 Straße 2 Siedlungen.; []
428: 2 Seuche 1 2 Feuerteufel Landschaften 1; []
429: Konflikt; []
430: 2 Rathaus 2; []
431: Rückseite Baum 1; []
432: Bürgerkrieg; []
433: 2 Wasserversorgung 2; []
434: Alchimist je 2 Getreide 9; [8528: Siegpunkte, ]
435: Ritter; []
436: Pippin Walther 2 3 Spion Konrad; []
437: Hagen Siegfried 2; []
438: Kirche 1; []
439: Karawane Wald Gebirge Hügel Karl Götz Falk Otto 2 Bibliothek 1; []
440: Raubzug; []
441: 1 2 Kloster 1 Markt 5 zur Ergänzung des 1996 Stuttgart Autor Klaus Grafik Franz Vohwinkel; []
442: Ein Dankeschön an die vielen und Helfer für ihre wertvollen Tips und Anregungen.; [8536: Aktionspunkte, ]
