0: Spielidee; []
244: Reichen die blau Arbeiter nicht aus muss man Arbeiter aus dem eigenen Vorrat zusätzlich nutzen und danach abgeben.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
245: Blaue Aktionsplättchen kosten zusätzlich Taler.; [8536: Aktionspunkte, ]
246: Die genauen Kosten werden durch die Zahlen 0 3 auf dem Spielplan festgelegt.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
247: Helle; []
248: Aktionsplättchen kosten keine Taler die Zahlen sind bei diesen ohne Bedeutung.; []
249: Gekaufte; []
250: Schiffsteile Waren müssen unter sein.; []
251: Der Preis weiterer identischer Waren ist immer 4 Taler.; []
252: Beim Kauf aller 4 verschiedenen Schiffs teile Waren erhält man ein weiteres Plättchen dieser Aktion geschenkt.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
253: Kostenlose; []
254: Schiffsteile Waren werden im Lager abgelegt.; [164466: Loswerden, ]
255: Mit Talern bezahlte; []
256: Schiffsteile Waren können sofort genutzt werden.; []
257: Beispiel; []
258: Der Startspieler wählt die Aktion Rumpfteile; [8536: Aktionspunkte, ]
259: kaufen; []
260: Er erhält als Bonus 2 Siegpunkte und schiebt das Aktionsplättchen nach unten und deckt das Bonusfeld ab.; [8528: Siegpunkte, 1492: Siegbedingung, ]
261: Danach führt er die Aktion Rumpfteile kaufen aus.; [8536: Aktionspunkte, ]
262: Er kauft alle 4 Rumpfteile muss dafür 6 Taler bezahlen und 4 Arbeiter einsetzen.; []
263: 2 blaue Arbeiter stehen ihm gemäß Drehscheibe zur Verfügung also muss er noch 2 Arbeiter aus seinem persönlichen Vorrat einsetzen und zum allgemeinen Vorrat zurücklegen.; [1292: Zufall, 8536: Aktionspunkte, ]
264: Weil er alle Teile gekauft hat erhält er kostenlos ein weiteres Rumpfteil seiner Wahl dazu das er in sein Lager legt.; [73230: Symmetrische Startbedingung, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 1492: Siegbedingung, ]
265: Danach kommt der nächste Spieler an die Reihe.; []
266: Er kauft einen Bug und ein Heck und zahlt 1 3 4 Taler dafür.; [1492: Siegbedingung, ]
267: Da er mit den 2 zur Verfügung stehenden blauen Arbeitern auskommt muss er keine Arbeiter aus seinem Vorrat einsetzen.; [8536: Aktionspunkte, ]
268: Der dritte Spieler kauft den kostenlosen und legt ihn in sein Lager.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
269: Er muss dafür keine Taler bezahlen und keine Arbeiter aus seinem Vorrat einsetzen da ihm für die Aktion 2 blaue Arbeiter zur Verfügung stehen er aber nur 1 Arbeiter benötigt.; [8536: Aktionspunkte, ]
270: Der nicht genutzte Arbeiter verfällt.; []
271: 5 3.2; []
272: Die einzelnen Aktionen; []
273: 3.2.1 Kostenpflichtige; []
274: Aktionen blaue Aktionsplättchen; [8536: Aktionspunkte, ]
275: Nur bei den 4 kostenpflichtigen Aktionen sind die Zahlen 0 3 neben den Flächen der Aktionsplättchen von Bedeutung.; [8536: Aktionspunkte, ]
276: Kostenpflichtig bedeutet dass jede durchgeführte Aktion 0 4 Taler und 1 Arbeiter kostet.; [8536: Aktionspunkte, ]
277: 3.2.1.1 Rumpfteile kaufen; []
278: Die Rumpfteile sind die Basis aller Schiffe.; []
279: Ohne Rumpfteile können Masten Segel und Waren nicht sinnvoll genutzt werden.; []
280: In können 4 verschiedene Schiffsgrößen gebaut wer den.; [8528: Siegpunkte, 1492: Siegbedingung, ]
281: Für die kleinen gibt es ein separates komplettes Rumpfplättchen.; [8536: Aktionspunkte, ]
282: Die größeren Schiffe bestehen aus und Heck teil dazwischen können 0 1 oder 2 Mittelteile platziert werden.; []
283: Diese kosten je Nutzung 1 Arbeiter plus 0 4 Taler.; []
284: Die einzelnen Aktionen; []
285: Kostenpflichtige Aktionen; []
286: Rumpfteile kaufen Es gibt und Mittelteile.; []
287: Aus entsteht immer ein und Mittelteile können zu und kombiniert werden.; [3173: Gemeinsames Spielfeld, ]
288: Wer Rumpfteile kauft legt die gekauften Plättchen die er aufgrund der Goldenen Regel nicht in sein Lager legen muss im Normalfall direkt vor sich auf den Spieltisch in seine Werft Hierbei muss sich der Spieler ggf. sofort entscheiden; [8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
289: wie groß ein Schiff werden soll da ein mal gelegte Teile später nicht mehr umgelegt werden können.; [8528: Siegpunkte, 3173: Gemeinsames Spielfeld, ]
290: Wer nur einen Bug oder ein Heck auslegt hat sich noch nicht festgelegt ob es ein oder wird.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
291: Wer aber Bug und Heck aneinanderlegt hat; [8528: Siegpunkte, 1492: Siegbedingung, ]
292: ein begonnen es ist nicht möglich später noch ein einzuschieben.; []
293: und kann man nur von einer Seite bzw. in der Mitte beginnen zu bauen.; [8536: Aktionspunkte, ]
294: Man kann also nicht zwischen Bug und Heck eine Lücke lassen um dort später mit 1 oder 2 Mittelteilen ein oder zu bauen.; [8536: Aktionspunkte, ]
295: Wer einen Bug und ein Heck separat voneinander in seine Werft legt hat 2 Schiffe in Bau genommen.; [1492: Siegbedingung, ]
296: Es ist nicht möglich diese später zu einem Schiff zu kombinieren.; []
297: Hinweis; []
298: Der Rumpf eines Schiffs muss nicht in einer Aktion fertiggebaut werden es ist möglich und bei großen Schiffen öfter der Fall dass es mehrere Aktionen; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
299: Rumpfteile kaufen benötigt um einen Rumpf zu komplettieren.; [8536: Aktionspunkte, ]
300: Rumpfteile die man nicht ins Lager legen muss können direkt auf den Spieltisch in die Werft gelegt werden.; [3173: Gemeinsames Spielfeld, ]
301: Alle Schiffsteile die in die Werft gelegt werden können später nicht mehr umgebaut werden.; [3173: Gemeinsames Spielfeld, 164466: Loswerden, 1492: Siegbedingung, ]
302: Es kann zwar später an bereits ausgelegte Schiffsteile angelegt werden aber ist eine Schiffsgröße einmal fixiert kann diese nicht mehr reduziert oder erweitert werden.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
303: Aktionsplättchen; []
304: Rumpf kaufen Beispiel; []
305: Spieler kauft alle 4 Teile mit 4 Arbeitern und 6 Talern.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
306: Er erhält als Zugabe kostenlos ein weiteres Rumpfteil.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
307: Er entscheidet sich für einen weiteren Beide muss er ins Lager legen da er sie kostenlos erhalten hat.; [3142: Verlierbedingung, ]
308: Er bildet mit Bug und Heck so fort; []
309: ein Das legt er etwas beiseite.; [1292: Zufall, ]
310: Er wird später weitere Rumpfteile anbauen und ein oder bauen.; [8536: Aktionspunkte, ]
311: 6 3.2.1.2; []
312: Mast kaufen; []
313: Es gibt 5 Arten von Masten unterschieden durch die Wappen auf den Flaggen.; [8536: Aktionspunkte, ]
314: Nur 4 dieser Mastarten kann man über diese Aktion kaufen.; [8536: Aktionspunkte, ]
315: Die Kronenmasten kann man nicht kaufen; []
316: man kann sie nur als Belohnung für fertiggestellte Schiffe erhalten 10 4. Belohnungen für fertige Schiffe; [8528: Siegpunkte, 1492: Siegbedingung, ]
317: Gekaufte kostenpflichtige Masten können sofort beim Kauf auf Schiffs rümpfe gebaut werden.; [1492: Siegbedingung, ]
318: Es spielt dabei keine Rolle ob der Schiffsrumpf bereits komplettiert ist oder nicht.; []
319: Allerdings darf auf einem Schiff nur eine Art Masten gebaut werden mischen verschiedener Mastarten ist nicht erlaubt.; [1292: Zufall, 73230: Symmetrische Startbedingung, 8536: Aktionspunkte, ]
320: Ausnahme; []
321: Die Kronenmasten sind Joker.; []
322: Sie können mit jeder anderen kombiniert werden.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
323: Gekaufte Masten die ein Spieler nicht direkt auf Rümpfe legen kann oder will muss er zusammen mit den kostenlosen Masten zunächst ins Lager legen.; [3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, ]
324: Beispiel Spieler kauft 1 grünroten Wal Mast für 0 Taler und 2 Anker; []
325: einen für 1 und den zweiten für 4 Taler.; [8536: Aktionspunkte, ]
326: Er benötigt dafür 3 Arbeiter.; []
327: Den Wal Mast muss er einlagern die beiden Anker kann er sofort auf seinem Schiff einsetzen.; [3142: Verlierbedingung, ]
328: 3.2.1.3 Segel kaufen; []
329: Es gibt 5 Arten von Segeln unterschieden durch die Wappen auf den Segeln.; [8536: Aktionspunkte, ]
330: Nur 4 dieser Segelarten kann man über diese Aktion kaufen.; [8536: Aktionspunkte, ]
331: Die Kronensegel kann man nicht kaufen; []
332: man kann sie nur als Belohnung für fertiggestellte Schiffe erhalten 10 4. Belohnungen für fertige Schiffe; [8528: Siegpunkte, 1492: Siegbedingung, ]
333: Gekaufte kostenpflichtige Segel können sofort beim Kauf auf Masten mit demselben Wappen gelegt werden.; [3173: Gemeinsames Spielfeld, ]
334: Ausnahme; []
335: Die Kronensegel sind Joker und können auf Masten jeder Art gelegt werden.; [1292: Zufall, 1492: Siegbedingung, ]
336: Gekaufte Segel; []
337: die ein Spieler nicht direkt auf Masten legen kann oder will muss er zusammen mit den kostenlosen Segeln zunächst ins Lager legen.; [3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, ]
338: Korrektes fertiges Schiff; []
339: Korrektes fertiges Schiff mit Kronensegel und Falsch gebautes Schiff da zwei verschiedene Arten von Segeln eingebaut wurden.; []
340: Das Steuerrad liegt zwar auf einem Kronenmast aber aufgrund der schon früher gelegten Anker ist das Schiff auf Anker festgelegt.; []
341: Mast kaufen; []
342: Es können nur die 4 regulären Masten gekauft werden keine Kronenmasten.; []
343: Kronenmasten kann man als Belohnung für fertiggestellte Schiffe bekommen.; [8536: Aktionspunkte, ]
344: Kostenpflichtige Masten können direkt auf bereits in der Werft Rumpfteile gebaut werden egal ob der Schiffsrumpf bereits komplett ist oder nicht.; [8536: Aktionspunkte, ]
345: Auf jedem Schiff darf nur eine Art von Masten eingesetzt werden.; [8536: Aktionspunkte, ]
346: Ausnahme; []
347: Kronenmasten die Joker sind.; []
348: Segel kaufen; []
349: Es können nur die 4 regulären Segel gekauft werden keine Kronensegel.; []
350: Kronensegel kann man als Belohnung für fertiggestellte Schiffe bekommen.; [8536: Aktionspunkte, ]
351: Kostenpflichtige Segel können direkt auf bereits in der Werft Masten der Art gelegt werden.; []
352: Auf jedem Schiff darf nur eine Art von Masten und Segeln eingesetzt werden.; [8536: Aktionspunkte, ]
353: Ausnahme; []
354: Kronenmasten und die Joker sind.; []
355: 7 3.2.1.4 Waren kaufen; []
356: Der Kauf von Waren funktioniert genauso wie der Kauf von Schiffsteilen.; []
357: Gekaufte kostenpflichtige Waren können direkt zu Schiffsrumpfteilen gelegt werden auch an unfertige Schiffe.; []
358: Jedes Rumpfteil bietet Platz für genau 1 Ware wobei die Ware direkt unter das Rumpfteil gelegt wird.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
359: Es können sowohl gleiche wie verschiedene Waren in ein Schiff geladen werden.; []
360: Waren die einmal in ein Schiff geladen worden sind können nicht mehr in andere Schiffe umgeladen werden sie können das Schiff in das sie geladen worden sind nur mittels der Aktion Waren; [8536: Aktionspunkte, 1492: Siegbedingung, ]
361: ausliefern 9 3.2.2.3 Waren ausliefern verlassen.; []
362: Waren kaufen Kostenpflichtige; []
363: Waren können direkt zu Schiffsrumpfteilen gelegt werden.; [3173: Gemeinsames Spielfeld, ]
364: Jedem Rumpfteil kann genau 1 Ware zugeordnet werden egal ob das Schiff bereits komplett ist oder nicht.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
365: Ein Schiff kann sowohl gleiche als auch verschiedene Waren transportieren.; [8536: Aktionspunkte, ]
366: Waren können nicht umgeladen werden.; []
367: Sie verlassen das Schiff nur durch die Aktion Waren; [8536: Aktionspunkte, ]
368: ausliefern Aktionsplättchen; []
369: Waren kaufen Beispiel; []
370: Spieler kauft 4 Waren Fisch Getreide und 2 Kaffee.; [8528: Siegpunkte, 1492: Siegbedingung, ]
371: Der zweite Kaffee kostet ihn 4 Taler.; []
372: Er benötigt dafür 4 Arbeiter und 7 Taler.; []
373: 1 Kaffee und das Getreide legt er direkt unter 2 seiner Schiffsrümpfe in der Werft.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
374: Den kostenlosen Kaffee und den Fisch legt er ins Lager obwohl er den Fisch auch an den noch freien Rumpf legen könnte.; [1292: Zufall, ]
375: Unter Umständen hätte es für Spieler sinnvoller sein können anstelle des zweiten Kaffees für 4 Taler das Salz für 3 Taler zu kaufen und sich dann einen zusätzlichen Kaffee schenken zu lassen weil er dann alle 4 Waren gekauft hätte.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
376: Dies hätte ihm 1 Taler gespart und 1 zusätzliche Ware gebracht nur hätte er dann beide Kaffeeplättchen ins Lager legen müssen.; [3142: Verlierbedingung, 1492: Siegbedingung, ]
377: 3.2.2; []
378: Kostenlose Aktionen helle Aktionsplättchen; [8536: Aktionspunkte, ]
379: Bei den 4 kostenlosen Aktionen sind die Zahlen 0 3 neben den Flächen der Aktionsplättchen nicht von Bedeutung.; [8536: Aktionspunkte, ]
380: Kostenlos bedeutet dass bei diesen Aktionen keine Taler gezahlt werden müssen.; []
381: Es wird aber weiterhin für jede durchgeführte Aktion 1 Arbeiter benötigt.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
382: 3.2.2.1 Transport vom Lager zur Werft; []
383: In ihrem Lager sammeln die Spieler alle Schiffsteile und Waren die sie entweder kostenlos erhalten haben oder die sie nicht direkt in der Werft an bereits ausgelegte Schiffsteile anlegen konnten oder wollten.; [73230: Symmetrische Startbedingung, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
384: Jeder Rumpf jedes Segel und jede Ware nimmt dabei genau 1 Feld in Anspruch.; [1292: Zufall, 1492: Siegbedingung, ]
385: Masten nehmen 2 Felder in Anspruch.; []
386: Man kann im Lager umsortieren wie man möchte wenn man einen Mast einlagern möchte aber keine 2 Plätze neben einander mehr frei sind Aber wenn das Lager; [3142: Verlierbedingung, 8536: Aktionspunkte, ]
387: voll ist kann man keine weiteren Schiffsteile oder Waren mehr einlagern.; [1492: Siegbedingung, ]
388: Mit der Aktion Transport schafft man eingelagerte Schiffsteile und Waren in die Werft.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
389: Man kann beliebig viele eingelagerte Plättchen vom Lager zur Werft transportieren allerdings wird für jedes transportierte Plättchen 1 Arbeiter benötigt.; [1292: Zufall, 8536: Aktionspunkte, 1492: Siegbedingung, ]
390: Die transportierten Schiffsteile Waren werden sofort an Schiffe angebaut angelegt bzw. beginnt man mit diesen ein neues Schiff.; [1492: Siegbedingung, ]
391: 3.2.2.2 Geld abheben; [1492: Siegbedingung, ]
392: Mit dieser Aktion erhält man neues Geld aus dem allgemeinen Vorrat.; [8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 1492: Siegbedingung, ]
393: Für jeden Arbeiter den ein Spieler einsetzt erhält er 2 Taler aus dem allgemeinen Vorrat.; [8528: Siegpunkte, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
394: Kostenlose Aktionen; []
395: Diese kosten keine Taler aber je Nutzung wird 1 Arbeiter benötigt.; []
396: Transport vom Lager zur Werft; []
397: Das Lager hat 12 Lagerplätze.; []
398: Jedes Plättchen benötigt; [8528: Siegpunkte, 1492: Siegbedingung, ]
399: 1 Masten benötigen 2.; []
400: Man darf sein Lager jederzeit umsortieren.; []
401: Ist das Lager voll kann nichts mehr eingelagert werden.; [164466: Loswerden, 1492: Siegbedingung, ]
402: Mit dieser Aktion werden Plättchen vom Lager in die Werft gebracht Schiffe fertig gebaut und Waren geladen.; [8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 1492: Siegbedingung, ]
403: Für jedes Plättchen das aus dem Lager in die Werft gebracht wird wird 1 Arbeiter benötigt.; [8528: Siegpunkte, 1492: Siegbedingung, ]
404: Geld abheben; []
405: Für jeden eingesetzten Arbeiter erhält man 2 Taler aus dem allgemeinen Vorrat.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
406: 3.2.2.3 Waren ausliefern; []
407: Diese Aktion kann nur von Spielern durchgeführt werden die wenigstens 1 komplett fertiges Schiff Rumpf; [8536: Aktionspunkte, 1492: Siegbedingung, ]
408: Mast Segel besitzen das vollständig mit Waren beladen ist also unter jedem Rumpfteil eine Ware liegen hat.; [1492: Siegbedingung, ]
409: Entscheidet sich ein Spieler Waren auszuliefern so kann er dies von beliebig vielen vollständig beladenen Schiffen tun.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
410: Er muss aber immer die gesamte Ladung eines Schiffes ausliefern.; []
411: Für jede ausgelieferte Ware wird 1 Arbeiter benötigt.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
412: sind nicht möglich.; []
413: Kann ein Spieler; []
414: nicht alle Waren eines großen Schiffes ausliefern weil er nicht genügend Arbeiter zur Verfügung hat oder einsetzen möchte so darf er von diesem Schiff gar keine Waren ausliefern.; [8536: Aktionspunkte, ]
415: Ausgelieferte Waren werden auf der rechten Seite neben dem Lager gesammelt.; []
416: Diese Waren bringen dem Spieler bei Spielende Siegpunkte je mehr Waren einer Art desto mehr Punkte 11 Spielende Sobald ein Schiff entladen wurde kann es erneut mit der Aktion Waren kaufen bzw. Transport mit Waren beladen werden.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
417: 3.2.2.4 Wertung der Kronen; [8528: Siegpunkte, 1492: Siegbedingung, ]
418: Mit dieser Aktion kann man direkt Siegpunkte erhalten.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
419: Wie viele Siegpunkte ein Spieler bekommen kann ist abhängig von der An zahl der eingesetzten Arbeiter und der Anzahl der aktuell sichtbaren Kronen dieses Spielers.; [8528: Siegpunkte, 3142: Verlierbedingung, 1492: Siegbedingung, ]
420: Führt ein Spieler diese Aktion durch zählt er zunächst alle seine sichtbaren Kronen.; [8528: Siegpunkte, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
421: Kronen sind auf den Kronen segeln und abgebildet wobei es nicht von Bedeutung ist ob das Kronensegel bzw. der Kronenmast im Lager liegt oder bereits Teil eines Schiffes ist.; [8536: Aktionspunkte, ]
422: Es zählt nur der Besitz.; [8528: Siegpunkte, 1492: Siegbedingung, ]
423: Auch auf den Rückseiten der sind Kronen abgebildet.; []
424: Die Summe aus Kronen auf Masten; []
425: Segeln und bereits umgedrehten ergibt die Anzahl Siegpunkte die der Spieler je eingesetztem Arbeiter erhält und sofort auf der Siegpunktleiste Wichtig; [8528: Siegpunkte, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
426: Ein Spieler kann pro Runde maximal 15 Siegpunkte über diese Aktion erhalten.; [8528: Siegpunkte, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
427: Ausnahme; []
428: Wenn die 10 5. genutzt wird kann man ein weiteres Mal innerhalb einer Runde Siegpunkte über die Wertung der Kronen bekommen theoretisch ist es so möglich einmal pro Spiel in einer Runde zwei Mal bis zu 15 Siegpunkte zu erhalten.; [8528: Siegpunkte, 3142: Verlierbedingung, 1492: Siegbedingung, ]
429: Waren ausliefern Nur möglich mit mindestens 1 fertigen Schiff das voll mit Waren beladen ist.; [1492: Siegbedingung, ]
430: Es muss die gesamte Ladung eines Schiffes gelöscht entladen werden.; []
431: Je Ware an Bord wird 1 Arbeiter benötigt.; []
432: Ausgelieferte Waren werden rechts neben dem Lager gesammelt.; [8528: Siegpunkte, 1492: Siegbedingung, ]
433: Sie bringen bei Spielende Siegpunkte abhängig von der Anzahl Waren jeder Art.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
434: Entladene Schiffe können neu beladen werden.; []
435: Wertung der Kronen; [8528: Siegpunkte, ]
436: Für jeden eingesetzten Arbeiter erhält man so viele Siegpunkte wie man aktuell sicht bare Kronen besitzt.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
437: Kronen sind auf Kronensegeln und sowie auf der Rückseite der Man kann maximal 15 Siegpunkte pro Run de über diese Aktion erhalten.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
438: Ausnahme Beispiel; []
439: Spieler besitzt 1 Kronenmast auf einem Schiff und 1 Kronensegel im Lager.; [8528: Siegpunkte, 1492: Siegbedingung, ]
440: Außerdem hat er 1 umgedreht.; []
441: Er nutzt die 2 blauen Arbeiter die gerade dieser Aktion zugeordnet sind und gibt noch 1 Arbeiter aus seinem Vorrat zusätzlich ab.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
442: Er erhält dafür 3 3 9 Siegpunkte und rückt seinen Zählstein auf der Siegpunktleiste vor.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
443: Hätte er 2 weitere Arbeiter eingesetzt hätte er die Maximalmenge von 15 erhalten.; []
444: 3.3 Passen Möchte oder kann ein Spieler eine Aktion nicht durchführen passt er.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
445: Dies ist aber nicht unbedingt schlecht denn jedesmal wenn ein Spieler passt darf er eines seiner auf die Rückseite drehen.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
446: Beim Rundenende verliert jeder Spieler der noch nicht umgedrehte vor sich liegen hat entsprechend Siegpunkte.; [8528: Siegpunkte, 3142: Verlierbedingung, 1492: Siegbedingung, ]
447: Ein Spieler der in einer Runde gar nicht passt verliert insgesamt 6 Siegpunkte.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
448: Wer einmal passt reduziert diesen Verlust schon auf 3 Siegpunkte.; [8528: Siegpunkte, 1492: Siegbedingung, ]
449: Pro Runde ist es also meistens sinnvoll zumindest einmal zu passen.; [1492: Siegbedingung, ]
450: Außerdem erhält man durch das Umdrehen eines für den Rest der Runde 1 zusätzliche Krone die bei der Aktion Wertung der Kronen zusätzliche Siegpunkte bringen kann.; [8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 1492: Siegbedingung, ]
451: Zur Erinnerung Passt der Startspieler so erhält er dennoch den Bonus für die Auswahl der Aktion.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
452: Passen Wer eine Aktion nicht ausführt dreht 1 um.; [8536: Aktionspunkte, ]
453: Am Rundenende verliert man für nicht umgedrehte Siegpunkte.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
454: Man hat dann für die in dieser Runde jeweils 1 Krone zusätzlich.; [8528: Siegpunkte, 1492: Siegbedingung, ]
455: Passt der Startspieler so erhält er dennoch den Bonus der gewählten Aktion.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
456: 9 4. Belohnungen für fertige Schiffe Jedes Mal wenn ein Spieler; [8528: Siegpunkte, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
457: ein Schiff fertigstellt unterbricht er seinen Zug und erhält sofort eine oder mehrere Belohnungen.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
458: Ein Schiff ist fertig wenn alle Schiffsteile angelegt sind.; [164466: Loswerden, ]
459: Ein also schon bei Rumpf 1 Mast 1 Segel ein bei 4 Rumpf teilen Bug 2; []
460: Mittelteile Heck 4 Masten 4 Segeln.; []
461: Waren haben mit der Fertig stellung von Schiffen nichts zu tun.; []
462: Für jeden Mast den ein fertiggestelltes Schiff hat erhält der Spieler 1 Belohnung.; [8528: Siegpunkte, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
463: Es stehen 6 Belohnungen zur Auswahl 1; []
464: Kronenmast; []
465: Der Spieler erhält 1 Kronenmast und legt ihn in sein Lager.; [8528: Siegpunkte, 3142: Verlierbedingung, 1492: Siegbedingung, ]
466: 1 Kronensegel; []
467: Der Spieler erhält 1 Kronensegel und legt es in sein Lager.; [8528: Siegpunkte, 3142: Verlierbedingung, 1492: Siegbedingung, ]
468: 3 Siegpunkte; []
469: Der Spieler erhält 3 Siegpunkte und rückt seinen Siegpunktmarker entsprechend vor.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
470: 7 Taler; []
471: Der Spieler nimmt sich 7 Taler aus dem allgemeinen Vorrat.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
472: 3 Arbeiter; []
473: Der Spieler nimmt sich 3 Arbeiter aus dem allgemeinen Vorrat.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 1492: Siegbedingung, ]
474: 2 Waren; []
475: Der Spieler erhält 2 verschiedene Waren und legt sie in sein Lager.; [8528: Siegpunkte, 3142: Verlierbedingung, 1492: Siegbedingung, ]
476: Jede Belohnung kann dabei pro fertiggestelltem Schiff maximal gewählt werden.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
477: Wer ein fertigstellt kann also 2 Kronenmasten und 2 Kronensegel nehmen.; []
478: Oder auch 4 unterschiedliche Belohnungen.; []
479: Die Aufteilung der Belohnungen bleibt ganz dem Spieler überlassen solange er keine Belohnung mehr als wählt.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
480: Wichtig Wird ein Schiff fertiggestellt wird der aktuelle Zug unterbrochen und die Belohnung genommen.; []
481: Sollte dies durch die Aktion Transport geschehen so kann der Spieler ein als Belohnung genommenes Kronensegel das er ins Lager legen; [8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
482: musste sofort mit einer weiteren Nutzung der Aktion Transport in ein Schiff einbauen und ggf. dieses sogar fertigstellen wodurch er weitere Belohnungen erhält.; [3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
483: Auch erhaltene Taler oder Arbeiter können sofort für weitere Aktionen genutzt werden.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
484: 5.; []
485: Jeder Spieler hat zu Spielbeginn 1 Plättchen erhalten.; [8528: Siegpunkte, 3142: Verlierbedingung, 1492: Siegbedingung, ]
486: Dieses kann der Spieler einmal im Spiel wenn er am Zug ist einsetzen um vor oder nach der aktuellen Aktion eine Zusatzaktion mit leicht geänderten Regeln durchzuführen.; [3142: Verlierbedingung, 8536: Aktionspunkte, ]
487: Als erstes erhält der Spieler 2 Arbeiter aus dem allgemeinen Vorrat.; [8528: Siegpunkte, 1492: Siegbedingung, ]
488: Danach wählt er eine der 8 bekannten Aktionen und führt sie nach folgenden Regeln aus Wählt der Spieler eine kostenpflichtige Aktion so hat jedes Schiffsteil bzw. jede Ware einen Kaufpreis von 2 Talern.; [8528: Siegpunkte, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
489: Alle sonstigen Regeln bleiben erhalten; []
490: Jede Nutzung der gewählten Aktion kostet 1 Arbeiter.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
